AUPRC,AUROC,absolute_difference,checkpoint,cliffs_delta,direction,effect_size,exact_permutation_result,false_count,false_max,false_mean,false_median,false_min,false_std,feature,rank_biserial,relative_difference,sample_warning,top_2_recall,top_5_recall,true_count,true_max,true_mean,true_median,true_min,true_rank_positions,true_std
0.35,0.525,447.0,T-15,-0.05,TRUE_LOW,-0.05,0.9696969696969697,10,2922.0,731.8,333.5,33.0,895.1014244207189,inventory_age_max,-0.05,1.3403298350824588,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.5,0.5,2,1496.0,780.5,780.5,65.0,2|10,715.5
0.35,0.55,270.3333333333333,T-15,-0.1,TRUE_LOW,-0.1,0.8636363636363636,10,977.0,344.8666666666667,168.66666666666669,33.0,334.11109928684897,inventory_age_mean,-0.1,1.602766798418972,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.5,0.5,2,838.0,439.0,439.0,40.0,2|10,399.0
0.30952380952380953,0.65,-0.0422300000000007,T-15,-0.3,TRUE_LOW,-0.3,0.5,10,14.905330000000003,1.7734450000000006,0.019915000000000304,-0.24795000000000017,4.47728149636194,inventory_build_rate_10m,-0.3,-2.120512176751195,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.0,0.5,2,0.013599999999999567,-0.022315000000000397,-0.022315000000000397,-0.05823000000000036,3|7,0.03591499999999996
0.29166666666666663,0.6,1.3521,T-15,0.2,TRUE_HIGH,0.2,0.9545454545454546,10,7.447505000000001,1.4926525,0.05732999999999962,-0.15007499999999965,2.32350894641838,inventory_build_rate_20m,0.2,23.58451072736803,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.0,0.5,2,2.793390000000001,1.4094299999999997,1.4094299999999997,0.02546999999999855,3|8,1.3839600000000012
0.29166666666666663,0.6,0.8962983333333331,T-15,0.2,TRUE_HIGH,0.2,0.9696969696969697,10,4.966923333333333,0.9949243333333332,0.04186666666666668,-0.09815000000000111,1.5494544176559193,inventory_build_rate_30m,0.2,21.40839968152865,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.0,0.5,2,1.8412600000000008,0.9381649999999998,0.9381649999999998,0.035069999999998915,3|8,0.903095000000001
0.3333333333333333,0.7,-0.1143500000000003,T-15,-0.4,TRUE_LOW,-0.4,0.45454545454545453,10,14.300220000000001,2.015453999999999,0.052609999999999955,-0.3321200000000033,4.498347968443972,inventory_build_rate_5m,-0.4,-2.1735411518722754,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.0,0.5,2,0.024119999999999208,-0.06174000000000034,-0.06174000000000034,-0.1475999999999999,3|6,0.08585999999999955
0.3333333333333333,0.7,-9.69300000000034e-05,T-15,-0.4,TRUE_LOW,-0.4,0.48484848484848486,10,0.02981066,0.004170414000000001,5.230000000000234e-05,-0.0004959000000000046,0.009324312766067213,inventory_build_rate_utilization_10m,-0.4,-1.8533460803059092,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.0,0.5,2,2.7199999999999448e-05,-4.4630000000001055e-05,-4.4630000000001055e-05,-0.00011646000000000156,3|6,7.183000000000051e-05
0.25,0.55,0.0027042000000000025,T-15,0.1,TRUE_HIGH,0.1,0.7424242424242424,10,0.014895010000000004,0.003298978,0.00011465999999999838,-0.00030014999999999903,0.004759971108815262,inventory_build_rate_utilization_20m,0.1,23.584510727368226,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.0,0.5,2,0.005586780000000002,0.0028188600000000007,0.0028188600000000007,5.093999999999932e-05,4|8,0.0027679200000000014
0.25,0.55,0.0017925966666666672,T-15,0.1,TRUE_HIGH,0.1,0.7575757575757576,10,0.009933846666666668,0.0021960860000000003,8.373333333333288e-05,-0.00019630000000000296,0.0031785489358866605,inventory_build_rate_utilization_30m,0.1,21.408399681528785,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.0,0.5,2,0.003682520000000002,0.00187633,0.00187633,7.013999999999817e-05,4|8,0.001806190000000002
0.3333333333333333,0.7,-0.00025946000000000026,T-15,-0.4,TRUE_LOW,-0.4,0.5909090909090909,10,0.028600440000000005,0.005281076000000001,0.00013598000000000223,-0.0006642400000000048,0.01073506339222196,inventory_build_rate_utilization_5m,-0.4,-1.9080747168700984,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.0,0.5,2,4.8239999999999396e-05,-0.00012347999999999802,-0.00012347999999999802,-0.00029519999999999547,3|6,0.00017171999999999744
0.29166666666666663,0.6,262.7215145610696,T-15,0.2,TRUE_HIGH,0.2,0.7575757575757576,10,2228.021753880191,1131.1705575676242,1048.9037285833867,216.5710071328585,612.7558247721488,inventory_entry_vwap,0.2,0.2504724765502476,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.0,0.5,2,1662.8772579312385,1311.6252431444564,1311.6252431444564,960.3732283576741,3|8,351.25201478678224
0.7,0.85,-1.594797081910857,T-15,-0.7,TRUE_LOW,-0.7,0.09090909090909091,10,-1.0486889484639368,-2.407071827584718,-2.3577991469508084,-3.7685808053222454,0.8560612834373976,inventory_pnl_unrealized,-0.7,-0.6763922550287231,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.5,1.0,2,-2.6426456715348086,-3.9525962288616654,-3.9525962288616654,-5.262546786188523,1|5,1.309950557326857
0.6428571428571428,0.75,0.1426120987750689,T-15,0.5,TRUE_HIGH,0.5,0.09090909090909091,10,0.09372717481461322,0.014526659714620225,0.005991799265647677,0.0,0.026823675784203714,inventory_recovery_rate,0.5,23.801214368561357,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.5,0.5,2,0.29280352846173485,0.14860389804071658,0.14860389804071658,0.004404267619698291,1|7,0.14419963042101827
0.35,0.525,427.0,T-15,-0.05,TRUE_LOW,-0.05,0.9696969696969697,10,2922.0,731.8,333.5,33.0,895.1014244207189,inventory_side_grid_depth,-0.05,1.280359820089955,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.5,0.5,2,1456.0,760.5,760.5,65.0,2|10,695.5
0.5833333333333333,0.9,-0.08801490000000001,T-15,-0.8,TRUE_LOW,-0.8,0.15151515151515152,10,0.5060952000000001,0.42194916000000005,0.4323684,0.292824,0.06008625726801764,inventory_utilization,-0.8,-0.2035645990780085,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.5,1.0,2,0.37886400000000003,0.3443535,0.3443535,0.309843,2|3,0.03451050000000003
1.0,0.75,0.5,T-15,0.5,TRUE_HIGH,0.5,0.4696969696969697,10,1.0,0.5,0.5,0.0,0.5,is_late_session,0.5,1.0,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,1.0,1.0,2,1.0,1.0,1.0,1.0,1|2,0.0
0.375,0.65,-0.375818181818182,T-15,-0.3,TRUE_LOW,-0.3,0.42424242424242425,10,2.606727272727271,0.17770909090909276,0.06613636363636279,-1.2139090909090886,0.9419621562470817,linear_price_slope_10m,-0.3,-5.6824742268041994,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.5,0.5,2,0.16609090909090996,-0.3096818181818192,-0.3096818181818192,-0.7854545454545484,2|8,0.4757727272727292
0.2361111111111111,0.5,0.07142207792207636,T-15,0.0,TIE,0.0,0.9242424242424242,10,1.0533766233766233,0.09082987012987018,0.05064285714285753,-1.0876883116883107,0.5702291659663431,linear_price_slope_20m,0.0,1.4103090139761092,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.0,0.5,2,0.3367532467532449,0.12206493506493389,0.12206493506493389,-0.09262337662337713,4|9,0.21468831168831104
0.5909090909090909,0.55,0.01405040322580544,T-15,0.1,TRUE_HIGH,0.1,0.9393939393939394,10,0.5379314516129038,0.02754153225806416,0.0601088709677421,-0.6944556451612918,0.33962312401149347,linear_price_slope_30m,0.1,0.2337492453209727,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.5,0.5,2,0.58398387096774,0.07415927419354754,0.07415927419354754,-0.4356653225806449,1|11,0.5098245967741925
0.29166666666666663,0.6,-0.3352857142857252,T-15,-0.2,TRUE_LOW,-0.2,0.7272727272727273,10,1.0282857142857178,0.015542857142854884,0.09257142857142964,-1.33485714285715,0.7930791164177509,linear_price_slope_5m,-0.2,-3.6219135802469897,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.0,0.5,2,0.16228571428570313,-0.24271428571429554,-0.24271428571429554,-0.6477142857142942,3|8,0.4049999999999987
0.29166666666666663,0.6,287.77499999999986,T-15,0.2,TRUE_HIGH,0.2,0.7272727272727273,10,2254.5,1134.194,1045.7150000000001,219.33,620.258062748079,low,0.2,0.27519448415677294,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.0,0.5,2,1720.28,1333.49,1333.49,946.7,3|8,386.78999999999996
1.0,0.6,0.0,T-15,0.2,TRUE_HIGH,0.2,1.0,10,3.0,2.7,3.0,1.0,0.6403124237432849,max_unpaired_lots,0.2,0.0,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,1.0,1.0,2,3.0,3.0,3.0,3.0,1|2,0.0
