accepted_fill_count,attempted_fill_count,capital,crossings_per_hour,fees_paid,fills,force_close_inventory_notional,funding_paid,grid_num,gross_grid_pnl,inventory_drag,inventory_drag_ratio,market_group,max_drawdown,max_drawdown_pct,max_inventory_utilization,max_unpaired_lot_age,net_capacity_per_hour,net_pnl,pair_completion_count,profile,quote_volume_per_hour,rejected_fill_count,reversal_ratio,scenario,seed,seed_fee,split,step_pct,stop_exit_cost,stopped_reason,symbol,total_cost,total_pnl,trade_count_per_hour,unrealized_pnl,window_end,window_key,window_kind,window_start,year_month,zero_activity_ratio
19,26,500.0,1.0,0.06265288440000001,19,0.0,0.016799685227999996,3,10.893329601337097,0.0,0.0,US_STOCK,4.817800000000024,0.009635600000000048,0.49914,1687,0.009066467325945998,10.813877031709097,9,N20,1256376.3607,7,0.46551724137931033,PRIMARY_ZERO_MAKER,17,0.0,Development,0.009201387325945998,0.06265288440000001,window_force_close,SNDKUSDT,0.142105454028,10.813877031709097,7914.0,0,2026-05-18T03:59:00+00:00,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00,WEEKEND,2026-05-15T20:00:00+00:00,2026-05,0.0
19,26,500.0,1.0,0.06265288440000001,19,0.0,0.016799685227999996,3,10.893329601337097,0.0,0.0,US_STOCK,4.817800000000024,0.009635600000000048,0.503514,1686,0.009066467325945998,10.813877031709097,9,N20,1256376.3607,7,0.46551724137931033,PRIMARY_ZERO_MAKER,31,0.0,Development,0.009201387325945998,0.06265288440000001,window_force_close,SNDKUSDT,0.142105454028,10.813877031709097,7914.0,0,2026-05-18T03:59:00+00:00,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00,WEEKEND,2026-05-15T20:00:00+00:00,2026-05,0.0
19,25,500.0,1.0,0.06265288440000001,19,0.0,0.016799685227999996,3,10.893329601337097,0.0,0.0,US_STOCK,4.817800000000025,0.00963560000000005,0.5037192,2128,0.009066467325945998,10.813877031709097,9,N20,1256376.3607,6,0.46551724137931033,PRIMARY_ZERO_MAKER,59,0.0,Development,0.009201387325945998,0.06265288440000001,window_force_close,SNDKUSDT,0.142105454028,10.813877031709097,7914.0,0,2026-05-18T03:59:00+00:00,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00,WEEKEND,2026-05-15T20:00:00+00:00,2026-05,0.0
19,29,500.0,1.0,0.06265288440000001,19,0.0,0.016799685227999996,3,10.893329601337097,0.0,0.0,US_STOCK,4.817800000000024,0.009635600000000048,0.5037192,2129,0.009066467325945998,10.813877031709097,9,N20,1256376.3607,10,0.46551724137931033,PRIMARY_ZERO_MAKER,97,0.0,Development,0.009201387325945998,0.06265288440000001,window_force_close,SNDKUSDT,0.142105454028,10.813877031709097,7914.0,0,2026-05-18T03:59:00+00:00,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00,WEEKEND,2026-05-15T20:00:00+00:00,2026-05,0.0
15,39,500.0,1.0,0.09383821650000002,15,0.0,0.016799685227999996,3,8.408729962143639,0.0,0.0,US_STOCK,4.607001892285525,0.00921400378457105,0.5048927999999999,2132,0.009066467325945998,8.29809206041564,7,N20,1256376.3607,24,0.46551724137931033,EXECUTION_STRESS,3,0.0,Development,0.009201387325945998,0.09383821650000002,window_force_close,SNDKUSDT,0.20447611822800002,8.29809206041564,7914.0,0,2026-05-18T03:59:00+00:00,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00,WEEKEND,2026-05-15T20:00:00+00:00,2026-05,0.0
19,34,500.0,1.0,0.09383821650000002,19,0.0,0.016799685227999996,3,10.7051828013371,0.0,0.0,US_STOCK,4.607001892285526,0.009214003784571052,0.7118592,2130,0.009066467325945998,10.594544899609101,9,N20,1256376.3607,15,0.46551724137931033,EXECUTION_STRESS,10,0.0,Development,0.009201387325945998,0.09383821650000002,window_force_close,SNDKUSDT,0.20447611822800002,10.594544899609101,7914.0,0,2026-05-18T03:59:00+00:00,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00,WEEKEND,2026-05-15T20:00:00+00:00,2026-05,0.0
17,40,500.0,1.0,0.09383821650000002,17,0.0,0.016799685227999996,3,9.556956381740369,0.0,0.0,US_STOCK,4.607001892285525,0.00921400378457105,0.5046516,2132,0.009066467325945998,9.44631848001237,8,N20,1256376.3607,23,0.46551724137931033,EXECUTION_STRESS,17,0.0,Development,0.009201387325945998,0.09383821650000002,window_force_close,SNDKUSDT,0.20447611822800002,9.44631848001237,7914.0,0,2026-05-18T03:59:00+00:00,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00,WEEKEND,2026-05-15T20:00:00+00:00,2026-05,0.0
14,35,500.0,1.0,0.0,14,0.0,0.016799685227999996,3,8.079509854429132,0.0,0.0,US_STOCK,4.607001892285525,0.00921400378457105,0.5038128,2120,0.009066467325945998,8.062710169201132,7,N20,1256376.3607,21,0.46551724137931033,EXECUTION_STRESS,31,0.0,Development,0.009201387325945998,0.0,window_force_close,SNDKUSDT,0.016799685227999996,8.062710169201132,7914.0,0,2026-05-18T03:59:00+00:00,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00,WEEKEND,2026-05-15T20:00:00+00:00,2026-05,0.0
17,44,500.0,1.0,0.09383821650000002,17,0.0,0.016799685227999996,3,9.556956381740369,0.0,0.0,US_STOCK,4.607001892285525,0.00921400378457105,0.7118592,2136,0.009066467325945998,9.44631848001237,8,N20,1256376.3607,27,0.46551724137931033,EXECUTION_STRESS,59,0.0,Development,0.009201387325945998,0.09383821650000002,window_force_close,SNDKUSDT,0.20447611822800002,9.44631848001237,7914.0,0,2026-05-18T03:59:00+00:00,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00,WEEKEND,2026-05-15T20:00:00+00:00,2026-05,0.0
18,51,500.0,1.0,0.1881468,18,0.0,0.016799685227999996,3,9.748806693622615,0.0,0.0,US_STOCK,4.607001892285526,0.009214003784571052,0.7104708000000001,2112,0.009066467325945998,9.543860208394616,8,N20,1256376.3607,33,0.46551724137931033,EXECUTION_STRESS,97,0.0,Development,0.009201387325945998,0.1881468,window_force_close,SNDKUSDT,0.393093285228,9.543860208394616,7914.0,0,2026-05-18T03:59:00+00:00,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00,WEEKEND,2026-05-15T20:00:00+00:00,2026-05,0.0
