best_window_concentration,cvar_95,fees_paid,funding_paid,gross_grid_pnl,max_drawdown,max_drawdown_pct,mean_inventory_drag_ratio,mean_window_pnl,median_window_pnl,positive_ratio,profile,profit_factor,runs,scenario,symbol,top_3_window_concentration,total_cost,total_pnl,unique_windows,worst_window_pnl
0.6379878784837921,-1.9253934318678183,0.2420323987547818,-0.11976327666903253,0.9725454492413491,3.902285847503203,0.007804571695006406,0.0,0.21256908178889986,0.21641369730260168,0.5,N100,1.301306992149627,24,PRIMARY_ZERO_MAKER,SKHYNIXUSDT,1.0,0.3643015208405311,0.8502763271555994,4,-1.9253934318678183
0.7560977655121226,-6.0569606178749185,1.167553248066357,-0.17815182485134018,-2.357413399727162,9.031712618907111,0.01806342523781422,0.0,-0.418351852867772,-0.7135743647286341,0.5,N20,0.7723355549485639,48,EXECUTION_STRESS,SKHYNIXUSDT,0.9999890223489265,2.156954671281374,-3.346814822942176,8,-6.0569606178749185
0.578634396419017,-5.893884091830707,2.9685286036639,-0.18912087802334018,5.268413614291925,8.773032483263105,0.01754606496652621,0.0,0.31112573608142047,-0.4123915051261484,0.5,N20,1.1822999910666852,48,MAKER_PROMO_OFF,SKHYNIXUSDT,0.9786601480629887,3.557427834275347,2.4890058886513637,8,-5.893884091830707
0.5690270247448518,-5.618606523846665,0.7778457469300624,-0.18912087802334018,6.045910637812725,8.593358524878855,0.01718671704975771,0.0,0.6821482211132505,-0.147666416874988,0.5,N20,1.4338421285223286,48,PRIMARY_ZERO_MAKER,SKHYNIXUSDT,0.9714962708422669,1.3665706158367845,5.457185768906004,8,-5.618606523846665
0.9658011479395016,-1.434603118171541,0.2489594257093405,0.022695500012000002,1.0323796091802422,2.349487321062423,0.004698974642124846,0.0,0.2535748944863005,0.07507769071225859,0.6666666666666666,N100,1.5302683883947468,18,EXECUTION_STRESS,SNDKUSDT,1.0,0.5206143514306809,0.7607246834589014,3,-1.434603118171541
0.9633973943154276,0.08718369875320246,1.3405257016585248,0.0037332633840000003,3.7261576611222273,2.516990751948819,0.005033981503897638,0.0,1.1909493480398512,1.1909493480398512,1.0,N100,2.3818986960797024,12,MAKER_PROMO_OFF,SNDKUSDT,1.0,1.4156188445425246,2.3818986960797024,2,0.08718369875320246
0.6043179891817604,-1.291221855564981,0.13432255900766343,0.023581390787000004,-0.143993638874019,2.673440940411531,0.0053468818808230624,0.0,-0.10063252955622742,0.3914578152768083,0.6666666666666666,N100,0.7661923182545687,18,PRIMARY_ZERO_MAKER,SNDKUSDT,1.0,0.29222650880232687,-0.30189758866868227,3,-1.291221855564981
0.38980998309201237,-5.658637226006714,1.1817891390683841,-0.33211385448524267,8.43502580412543,6.2623073041840716,0.012524614608368144,0.0,0.8428167243935879,-1.416352514388805,0.4444444444444444,N20,1.4712007518851073,54,EXECUTION_STRESS,SNDKUSDT,0.8580339434895078,2.031464423651526,7.585350519542291,9,-5.658637226006714
0.349249620787483,-5.421418940542725,3.051879280216819,-0.4783142114019856,21.62283213423344,5.978723698720081,0.011957447397440162,0.0,2.3811583831773264,1.8129936008886294,0.5,N20,2.7410301345323194,48,MAKER_PROMO_OFF,SNDKUSDT,0.8626856173033809,3.289468151839122,19.04926706541861,8,-5.421418940542725
0.3423355383454567,-5.261574764107446,0.8403990522031365,-0.6063974829252269,19.043261550507804,5.865244842284803,0.011730489684569606,0.0,2.0899177756922107,-0.2786167400504021,0.4444444444444444,N20,2.4101704925214924,54,PRIMARY_ZERO_MAKER,SNDKUSDT,0.8448569859503647,1.074400621481046,18.809259981229896,9,-5.261574764107446
