allowed,code,crossings_per_hour,long_signal_allowed,long_signal_reasons,market_group,net_capacity_per_hour,profile,quote_volume_per_hour,reason,reversal_ratio,scenario,split,spread_to_step_ratio,symbol,trade_count_per_hour,window_key,zero_activity_ratio
True,PASSED,5.5,,,US_STOCK,0.038371230292702986,N20,3157815.5664000004,,0.39655172413793105,MAKER_PROMO_OFF,Validation,0.02173585274864385,SNDKUSDT,15652.0,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00,0.0
True,PASSED,5.333333333333333,,,US_STOCK,0.030239206857448277,N20,2001483.8627,,0.4827586206896552,PRIMARY_ZERO_MAKER,Validation,0.028298144152902157,SNDKUSDT,9618.0,US_STOCK:2026-06-12T20:00:00+00:00:2026-06-15T08:00:00+00:00,0.0
True,PASSED,5.333333333333333,,,US_STOCK,0.030239206857448277,N20,2001483.8627,,0.4827586206896552,EXECUTION_STRESS,Validation,0.028298144152902157,SNDKUSDT,9618.0,US_STOCK:2026-06-12T20:00:00+00:00:2026-06-15T08:00:00+00:00,0.0
True,PASSED,5.333333333333333,,,US_STOCK,0.028105873524114942,N20,2001483.8627,,0.4827586206896552,MAKER_PROMO_OFF,Validation,0.028298144152902157,SNDKUSDT,9618.0,US_STOCK:2026-06-12T20:00:00+00:00:2026-06-15T08:00:00+00:00,0.0
True,PASSED,4.5,,,US_STOCK,0.02162710463264114,N20,10890624.364599997,,0.5517241379310345,PRIMARY_ZERO_MAKER,Validation,0.036947451429413684,SNDKUSDT,25046.0,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00,0.0
True,PASSED,4.5,,,US_STOCK,0.02162710463264114,N20,10890624.364599997,,0.5517241379310345,EXECUTION_STRESS,Validation,0.036947451429413684,SNDKUSDT,25046.0,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00,0.0
True,PASSED,4.5,,,US_STOCK,0.01982710463264114,N20,10890624.364599997,,0.5517241379310345,MAKER_PROMO_OFF,Validation,0.036947451429413684,SNDKUSDT,25046.0,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00,0.0
True,PASSED,6.0,,,US_STOCK,0.03867018771462798,N20,5798889.318399999,,0.4827586206896552,PRIMARY_ZERO_MAKER,Validation,0.028298144152903045,SNDKUSDT,17179.0,US_STOCK:2026-06-26T20:00:00+00:00:2026-06-29T08:00:00+00:00,0.0
True,PASSED,6.0,,,US_STOCK,0.03867018771462798,N20,5798889.318399999,,0.4827586206896552,EXECUTION_STRESS,Validation,0.028298144152903045,SNDKUSDT,17179.0,US_STOCK:2026-06-26T20:00:00+00:00:2026-06-29T08:00:00+00:00,0.0
True,PASSED,6.0,,,US_STOCK,0.03627018771462798,N20,5798889.318399999,,0.4827586206896552,MAKER_PROMO_OFF,Validation,0.028298144152903045,SNDKUSDT,17179.0,US_STOCK:2026-06-26T20:00:00+00:00:2026-06-29T08:00:00+00:00,0.0
True,PASSED,6.666666666666667,,,US_STOCK,0.03359814190514369,N20,10239433.921900002,,0.4827586206896552,PRIMARY_ZERO_MAKER,Final_OOS,0.028298144152902157,SNDKUSDT,31405.0,US_STOCK:2026-07-02T20:00:00+00:00:2026-07-06T08:00:00+00:00,0.0
True,PASSED,6.666666666666667,,,US_STOCK,0.03359814190514369,N20,10239433.921900002,,0.4827586206896552,EXECUTION_STRESS,Final_OOS,0.028298144152902157,SNDKUSDT,31405.0,US_STOCK:2026-07-02T20:00:00+00:00:2026-07-06T08:00:00+00:00,0.0
True,PASSED,6.666666666666667,,,US_STOCK,0.030931475238477012,N20,10239433.921900002,,0.4827586206896552,MAKER_PROMO_OFF,Final_OOS,0.028298144152902157,SNDKUSDT,31405.0,US_STOCK:2026-07-02T20:00:00+00:00:2026-07-06T08:00:00+00:00,0.0
False,VIABILITY_BLOCKED,0.0,,,US_STOCK,0.0,N20,7423717.793799998,Grid Viability Gate 未通过：预计穿越频率不足 (0.0000 < 1.0000/h)；预计费后循环容量不足 (0.000000 < 0.000250/h),0.4482758620689655,PRIMARY_ZERO_MAKER,Final_OOS,0.026088446357746004,SNDKUSDT,26456.0,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00,0.0
False,VIABILITY_BLOCKED,0.0,,,US_STOCK,0.0,N20,7423717.793799998,Grid Viability Gate 未通过：预计穿越频率不足 (0.0000 < 1.0000/h)；预计费后循环容量不足 (0.000000 < 0.000250/h),0.4482758620689655,EXECUTION_STRESS,Final_OOS,0.026088446357746004,SNDKUSDT,26456.0,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00,0.0
False,VIABILITY_BLOCKED,0.0,,,US_STOCK,0.0,N20,7423717.793799998,Grid Viability Gate 未通过：预计穿越频率不足 (0.0000 < 1.0000/h)；预计费后循环容量不足 (0.000000 < 0.000250/h),0.4482758620689655,MAKER_PROMO_OFF,Final_OOS,0.026088446357746004,SNDKUSDT,26456.0,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00,0.0
True,PASSED,1.2105263157894737,,,US_STOCK,0.0006412133171142856,N100,7423717.793799998,,0.4482758620689655,PRIMARY_ZERO_MAKER,Final_OOS,0.16140122635940624,SNDKUSDT,26456.0,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00,0.0
True,PASSED,1.2105263157894737,,,US_STOCK,0.0006412133171142856,N100,7423717.793799998,,0.4482758620689655,EXECUTION_STRESS,Final_OOS,0.16140122635940624,SNDKUSDT,26456.0,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00,0.0
False,VIABILITY_BLOCKED,1.2105263157894737,,,US_STOCK,0.00015700279079849608,N100,7423717.793799998,Grid Viability Gate 未通过：预计费后循环容量不足 (0.000157 < 0.000250/h),0.4482758620689655,MAKER_PROMO_OFF,Final_OOS,0.16140122635940624,SNDKUSDT,26456.0,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00,0.0
