best_window_concentration,cvar_95,fees_paid,funding_paid,gross_grid_pnl,market_group,max_drawdown,max_drawdown_pct,mean_inventory_drag_ratio,mean_window_pnl,median_window_pnl,positive_ratio,profile,profit_factor,runs,scenario,seed,top_3_window_concentration,total_cost,total_pnl,unique_windows,worst_window_pnl
0.7846790734153564,-6.056960617874919,1.167553248066357,-0.18912087802334016,-3.4941142573248793,KR_STOCK,9.031712618907111,0.01806342523781422,0.0,-0.5590683284209872,-1.4218667774156808,0.375,N20,0.7373439027856921,8,EXECUTION_STRESS,31,1.0,2.145985618109374,-4.4725466273678975,8,-6.056960617874919
0.7010370363701798,-6.056960617874919,1.167553248066357,-0.15621371850734017,-1.5504789134659083,KR_STOCK,8.719772617616897,0.017439545235233795,0.0,-0.32022730537811567,-0.4816280775744969,0.5,N20,0.8152235747720539,8,EXECUTION_STRESS,59,0.9926290001181853,2.178892777625374,-2.5618184430249253,8,-6.056960617874919
0.6738138002633466,-6.056960617874919,1.167553248066357,-0.18912087802334016,-1.7007319420471598,KR_STOCK,8.719772617616897,0.017439545235233795,0.0,-0.33489553901127206,-0.8508081990153422,0.375,N20,0.815477833143922,8,EXECUTION_STRESS,97,1.0,2.145985618109374,-2.6791643120901765,8,-6.056960617874919
0.5478159239305546,-5.893884091830707,3.0202117474551233,-0.18912087802334016,6.518006585502957,KR_STOCK,8.433770869973149,0.0168675417399463,0.0,0.46086446450889657,-0.32089580523747,0.5,N20,1.2758931828303728,8,MAKER_PROMO_OFF,3,0.9797967234962827,3.609110978066571,3.6869157160711725,8,-5.893884091830707
0.5478159239305546,-5.893884091830707,3.0202117474551233,-0.18912087802334016,6.518006585502957,KR_STOCK,8.433770869973149,0.0168675417399463,0.0,0.46086446450889657,-0.32089580523747,0.5,N20,1.2758931828303728,8,MAKER_PROMO_OFF,10,0.9797967234962827,3.609110978066571,3.6869157160711725,8,-5.893884091830707
0.5703993543376629,-5.893884091830707,2.9360339634549315,-0.18912087802334016,4.660812524428908,KR_STOCK,8.433770869973149,0.0168675417399463,0.0,0.23923742987466445,-0.5270290692498817,0.5,N20,1.1323443649054648,8,MAKER_PROMO_OFF,17,0.9918085578133371,3.524933194066379,1.9138994389973156,8,-5.893884091830707
0.5478159239305546,-5.893884091830707,2.9863273671021364,-0.18912087802334016,5.843333892021657,KR_STOCK,8.773032483263105,0.01754606496652621,0.0,0.3807659253678574,-0.32089580523747,0.5,N20,1.2175129360520172,8,MAKER_PROMO_OFF,31,0.9797967234962827,3.575226597713584,3.0461274029428593,8,-5.893884091830707
0.6369848466485691,-5.893884091830707,2.9241933982580415,-0.18912087802334016,4.0351610491475345,KR_STOCK,8.433770869973149,0.0168675417399463,0.0,0.16251106611410399,-0.32089580523747,0.5,N20,1.0972860759033674,8,MAKER_PROMO_OFF,59,0.9765082020741871,3.5130926288694893,1.3000885289128319,8,-5.893884091830707
0.6369848466485691,-5.893884091830707,2.9241933982580415,-0.18912087802334016,4.0351610491475345,KR_STOCK,8.433770869973149,0.0168675417399463,0.0,0.16251106611410399,-0.32089580523747,0.5,N20,1.0972860759033674,8,MAKER_PROMO_OFF,97,0.9765082020741871,3.5130926288694893,1.3000885289128319,8,-5.893884091830707
0.5406458528010837,-5.618606523846665,0.7778457469300624,-0.18912087802334016,7.2955036090237595,KR_STOCK,8.281418523588643,0.016562837047177287,0.0,0.8383473425146295,-0.05248998714159819,0.5,N20,1.5463353347294095,8,PRIMARY_ZERO_MAKER,3,0.9729179418756015,1.3665706158367845,6.706778740117036,8,-5.618606523846665
0.5406458528010837,-5.618606523846665,0.7778457469300624,-0.18912087802334016,7.2955036090237595,KR_STOCK,8.281418523588643,0.016562837047177287,0.0,0.8383473425146295,-0.05248998714159819,0.5,N20,1.5463353347294095,8,PRIMARY_ZERO_MAKER,10,0.9729179418756015,1.3665706158367845,6.706778740117036,8,-5.618606523846665
0.56180914288715,-5.618606523846665,0.7778457469300624,-0.18912087802334016,5.438309547949711,KR_STOCK,8.281418523588643,0.016562837047177287,0.0,0.6061980848803734,-0.1962089898594258,0.5,N20,1.361422321895121,8,PRIMARY_ZERO_MAKER,17,0.971857829328275,1.3665706158367845,4.849584679042987,8,-5.618606523846665
0.5406458528010837,-5.618606523846665,0.7778457469300624,-0.18912087802334016,6.620830915542459,KR_STOCK,8.593358524878855,0.01718671704975771,0.0,0.754013255829467,-0.05248998714159819,0.5,N20,1.4657777267875332,8,PRIMARY_ZERO_MAKER,31,0.9729179418756015,1.3665706158367845,6.032106046635736,8,-5.618606523846665
