scenario,window_id,market_close,candidate_traded_seed_count,candidate_mean_pnl,reference_mean_pnl,candidate_minus_reference_total_pnl,candidate_negative_seed_count,candidate_all_traded_seeds_negative,candidate_stopped_seed_count,candidate_stopped_within_120_bars,candidate_zero_pair_seed_count,candidate_single_fill_stop_seed_count,candidate_mean_fill_count,candidate_mean_pair_count,candidate_mean_paired_grid_pnl,candidate_mean_stop_exit_pnl,directional_efficiency,volatility_expansion,reversal_ratio,grid_score
BASE,nyse_20200313T200000Z,2020-03-13T20:00:00+00:00,6,-1.6480304804921106,-1.6480304804921106,0.0,6,True,6,1,0,0,11.166666666666666,5.0,3.037184402054191,-4.336555692905276,0.23981314414595306,1.0007287629070887,0.7857142857142857,88.98734813507976
BASE,nyse_20200320T200000Z,2020-03-20T20:00:00+00:00,6,0.5147599590810373,0.5147599590810373,0.0,0,False,6,0,0,0,18.333333333333332,8.666666666666666,5.375759840432482,-4.296901867082666,0.17152935566693567,0.9990329867396139,0.42857142857142855,86.6020777745019
BASE,nyse_20200327T200000Z,2020-03-27T20:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.047263243636557824,1.083210945427949,0.7142857142857143,91.7142594872876
BASE,nyse_20200403T200000Z,2020-04-03T20:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.5989520801536078,1.2460047480198508,0.5714285714285714,69.66952646636035
BASE,nyse_20200409T200000Z,2020-04-09T20:00:00+00:00,6,-4.249189413640046,-4.249189413640046,0.0,6,True,6,0,6,6,1.0,0.0,0.0,-4.160916969963917,0.2464857537026189,0.7076876870897362,0.5,85.27983077345239
BASE,nyse_20200417T200000Z,2020-04-17T20:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.004517355523850375,1.1349865275715536,0.6428571428571429,90.79982503330102
BASE,nyse_20200424T200000Z,2020-04-24T20:00:00+00:00,6,-0.45856630751122557,-0.8851638713474509,2.559585383017352,3,False,6,0,0,0,6.0,3.0,-0.34035217984719507,0.0,0.17471170388066024,0.7232314496974616,0.5,87.39083223880411
BASE,nyse_20200501T200000Z,2020-05-01T20:00:00+00:00,6,1.7110087902839428,-0.7448034301930412,14.734873322861905,0,False,6,0,0,0,11.333333333333334,5.666666666666667,1.956822911481437,0.0,0.012414785809122962,0.5559920121213308,0.42857142857142855,91.28191806443758
BASE,nyse_20200508T200000Z,2020-05-08T20:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.5548118950208575,1.1465165455986992,0.35714285714285715,70.79815969722287
BASE,nyse_20200515T200000Z,2020-05-15T20:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.4474537344981044,1.4904793677286625,0.5714285714285714,68.03746276936161
