seed,window_id,label,pnl,first_entry_bar_index,first_entry_side,bars_from_entry_to_stop,final_pair_count,horizon_bars,directional_return_pct,favorable_excursion_pct,adverse_excursion_pct,path_efficiency,fill_count,pair_count,zero_pair,adverse_unpaired_inventory,net_side,net_qty,inventory_utilization,equity
17,nyse_20200320T200000Z,PROFITABLE,-0.2669881962697218,0,SHORT,191,8,60,-0.004854384657747346,0.016299523794097603,0.010322653795069359,0.04375118611407174,13,6,False,False,SHORT,-0.022,0.27296588000000005,2.5375436611359437
17,nyse_20200320T200000Z,PROFITABLE,-0.2669881962697218,0,SHORT,191,8,120,0.005855388901487069,0.01838251967993776,0.010322653795069359,0.025801340384986344,17,8,False,False,SHORT,-0.022,0.2700565999999999,5.069966798223813
17,nyse_20200409T200000Z,PERSISTENT_LOSS,-4.401534157561035,1,LONG,360,0,30,-0.00034968391316869685,0.0018828078932571213,0.0030580201033967302,0.02648800249298999,1,0,True,True,LONG,0.016,0.23327199999999998,-0.07653179363333625
17,nyse_20200409T200000Z,PERSISTENT_LOSS,-4.401534157561035,1,LONG,360,0,60,-0.0016058033816491735,0.0018828078932571213,0.0030580201033967302,0.06040753159659396,1,0,True,True,LONG,0.016,0.23297888,-0.22382032440000058
17,nyse_20200409T200000Z,PERSISTENT_LOSS,-4.401534157561035,1,LONG,360,0,120,-0.0009640305527748305,0.0018828078932571213,0.006191462227280953,0.018178997181349705,1,0,True,True,LONG,0.016,0.23312864000000003,-0.15039488909999593
17,nyse_20200424T200000Z,PERSISTENT_LOSS,-1.1485405921057392,64,LONG,2876,3,30,0.00030625618530510934,0.0019498756252172011,0.002809800197929646,0.016621906075342318,1,0,True,False,LONG,0.018,0.26926883999999995,7.310624993428494e-07
17,nyse_20200424T200000Z,PERSISTENT_LOSS,-1.1485405921057392,64,LONG,2876,3,60,-0.0025557011795543927,0.0019498756252172011,0.005937892850455984,0.07328296966675452,1,0,True,True,LONG,0.018,0.26849843999999995,-0.38603913108749405
17,nyse_20200424T200000Z,PERSISTENT_LOSS,-1.1485405921057392,64,LONG,2876,3,120,-2.1397812073664646e-05,0.002621231979030192,0.005937892850455984,0.0003734652910691699,1,0,True,True,LONG,0.018,0.26918063999999997,-0.04662313691249737
17,nyse_20200501T200000Z,PROFITABLE,1.712485181170199,30,SHORT,1505,5,30,0.006277078199025343,0.009186050437189786,0.0014291662446688225,0.264059837152047,3,1,False,False,LONG,0.013,0.22959352000000002,0.33518187664374366
17,nyse_20200501T200000Z,PROFITABLE,1.712485181170199,30,SHORT,1505,5,60,0.009756591607305465,0.013469047860189098,0.0014291662446688225,0.216026311855281,3,1,False,False,LONG,0.013,0.2287896,-0.06749392846250729
17,nyse_20200501T200000Z,PROFITABLE,1.712485181170199,30,SHORT,1505,5,120,0.010097565916073026,0.013469047860189098,0.0014291662446688225,0.13205492354559942,3,1,False,False,LONG,0.013,0.22871081999999998,-0.1083177539562658
17,nyse_20200529T200000Z,PERSISTENT_LOSS,-0.5371068169767458,17,SHORT,1406,3,30,-0.000879183811988149,0.0008579731048233841,0.0020415305646290793,0.09165284687671812,1,0,True,True,SHORT,-0.014,0.26424972,-0.15483731832915343
17,nyse_20200529T200000Z,PERSISTENT_LOSS,-0.5371068169767458,17,SHORT,1406,3,60,0.005217833962584351,0.005217833962584351,0.0020415305646290793,0.2199570815450745,3,1,False,False,LONG,0.014,0.26264,0.025479438775010188
17,nyse_20200529T200000Z,PERSISTENT_LOSS,-0.5371068169767458,17,SHORT,1406,3,120,0.006323972341237938,0.008399440037330952,0.0020415305646290793,0.12536528960370197,3,1,False,False,LONG,0.014,0.26234796,-0.1221808183749939
17,nyse_20200605T200000Z,PROFITABLE,1.5784364991576478,20,LONG,2325,5,30,-0.0018517367155764797,0.0017781646356627157,0.0030465058443173154,0.12920251608704225,1,0,True,True,LONG,0.014,0.26971084,-0.29155631968748574
17,nyse_20200605T200000Z,PROFITABLE,1.5784364991576478,20,LONG,2325,5,60,-0.006727182292961986,0.0017781646356627157,0.012683412086545554,0.18755416883342152,1,0,True,True,LONG,0.014,0.26839344,-0.9510959606166677
17,nyse_20200605T200000Z,PROFITABLE,1.5784364991576478,20,LONG,2325,5,120,-0.006211141507087792,0.0017781646356627157,0.012683412086545554,0.0964378801042587,1,0,True,True,LONG,0.014,0.26853288,-0.8830536720541737
17,nyse_20200626T200000Z,PERSISTENT_LOSS,-2.458418999824601,103,LONG,1147,2,30,0.00048042119118130167,0.0036163211582755928,5.4842601733051666e-05,0.04424242424241697,1,0,True,False,LONG,0.011,0.20067035999999996,0.017465958102074533
17,nyse_20200626T200000Z,PERSISTENT_LOSS,-2.458418999824601,103,LONG,1147,2,60,0.0031490621915102324,0.0038839530547329915,0.001545464516836681,0.14328492289264758,2,1,False,False,FLAT,0.0,0.0,0.299515189118762
17,nyse_20200626T200000Z,PERSISTENT_LOSS,-2.458418999824601,103,LONG,1147,2,120,0.0007656027201929927,0.004596906877262219,0.001545464516836681,0.021263632486442918,2,1,False,False,FLAT,0.0,0.0,0.299515189118762
17,nyse_20200702T200000Z,PROFITABLE,1.5588003727839952,63,LONG,4677,4,30,0.0020507790977011275,0.002103673991140198,0.0009675357591519829,0.2197425906246245,1,0,True,False,LONG,0.015,0.2727963,0.2374629089687314
17,nyse_20200702T200000Z,PROFITABLE,1.5588003727839952,63,LONG,4677,4,60,0.002251338901990252,0.0033422960791660294,0.0009675357591519829,0.14917853231106773,2,1,False,False,FLAT,0.0,0.0,0.3519203533125
17,nyse_20200702T200000Z,PROFITABLE,1.5588003727839952,63,LONG,4677,4,120,0.003859123267141218,0.0051980252573116115,0.0009675357591519829,0.1425083421502346,2,1,False,False,FLAT,0.0,0.0,0.3519203533125
31,nyse_20200117T210000Z,PROFITABLE,3.1016405837460552,1,LONG,2101,5,30,0.004037940683966346,0.00583270585855411,0.004463874310246085,0.23919845549563698,2,1,False,False,FLAT,0.0,0.0,0.46092038109375544
31,nyse_20200117T210000Z,PROFITABLE,3.1016405837460552,1,LONG,2101,5,60,0.010635978467313123,0.010767467212101423,0.004463874310246085,0.27136139465535,3,1,False,False,SHORT,-0.015,0.26978219999999997,0.08168427418751417
31,nyse_20200117T210000Z,PROFITABLE,3.1016405837460552,1,LONG,2101,5,120,0.005829334352277282,0.010889965273485291,0.004463874310246085,0.07278059184217413,4,2,False,False,FLAT,0.0,0.0,0.9222289668125054
31,nyse_20200124T210000Z,PERSISTENT_LOSS,-0.8312684367666727,16,LONG,2887,1,30,-0.008283616609932265,0.0011872709373628165,0.009473259717000304,0.437046307884859,1,0,True,True,LONG,0.016,0.26756031999999996,-1.158748166566669
31,nyse_20200124T210000Z,PERSISTENT_LOSS,-0.8312684367666727,16,LONG,2887,1,60,-0.012035202998422645,0.0011872709373628165,0.016543511522814303,0.29727829373334547,1,0,True,True,LONG,0.016,0.26654816,-1.6656603468000188
31,nyse_20200124T210000Z,PERSISTENT_LOSS,-0.8312684367666727,16,LONG,2887,1,120,-0.01333277982706882,0.0011872709373628165,0.018870610003439703,0.1935000774620051,1,0,True,True,LONG,0.016,0.26619808,-1.8423622347666644
31,nyse_20200306T210000Z,PERSISTENT_LOSS,-3.5386096979964,3,LONG,1457,2,30,-0.00034307385404552804,0.0010588157923581143,0.0012977617993291668,0.028013962230369293,1,0,True,True,LONG,0.012,0.21888648,-0.0710884760249904
31,nyse_20200306T210000Z,PERSISTENT_LOSS,-3.5386096979964,3,LONG,1457,2,60,0.0003617072582591252,0.0033068812065677466,0.0012977617993291668,0.014644537143876436,1,0,True,False,LONG,0.012,0.2190408,0.005386536600013099
31,nyse_20200306T210000Z,PERSISTENT_LOSS,-3.5386096979964,3,LONG,1457,2,120,-0.0029890172523401315,0.0033068812065677466,0.004537781967248966,0.06632293212053601,1,0,True,True,LONG,0.012,0.21830712,-0.3628195689500052
31,nyse_20200313T200000Z,PERSISTENT_LOSS,-3.9591961229257087,1,SHORT,126,3,30,0.005671998857387672,0.017174891094765332,0.01581089766478616,0.0712507569131386,2,1,False,False,FLAT,0.0,0.0,0.5094752931249854
31,nyse_20200313T200000Z,PERSISTENT_LOSS,-3.9591961229257087,1,SHORT,126,3,60,0.012204527601228254,0.033296436477897595,0.01581089766478616,0.05777064142651868,7,3,False,False,LONG,0.024,0.26557632000000003,1.334174405561197
31,nyse_20200313T200000Z,PERSISTENT_LOSS,-3.9591961229257087,1,SHORT,126,3,120,0.030098907376990724,0.03890416339355851,0.01581089766478616,0.08116956586631736,7,3,False,False,LONG,0.024,0.26076528,-1.0729877445388143
