blocked_adverse_add_opportunity_cost,early_flatten_fee,early_flatten_slippage,false_breakout_defense_cost,missed_paired_grid_pnl,profile_id,scenario,seed,suspected_episode_id,symbol,window_key
,,,0.0,,D2-R3,MAKER_PROMO_OFF,59,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
,,,0.0,,S0,MAKER_PROMO_OFF,59,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.0,0.0,0.0,0.0,S1,MAKER_PROMO_OFF,59,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.009546130000000002,0.028638390000000003,0.11958452000000053,0.0,S2,MAKER_PROMO_OFF,59,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.023865325000000003,0.071595975,0.29896130000000287,0.0,S3,MAKER_PROMO_OFF,59,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
,,,0.0,,D2-R3,MAKER_PROMO_OFF,97,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
,,,0.0,,S0,MAKER_PROMO_OFF,97,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.0,0.0,0.0,0.0,S1,MAKER_PROMO_OFF,97,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.009546130000000002,0.028638390000000003,0.11958452000000053,0.0,S2,MAKER_PROMO_OFF,97,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.023865325000000003,0.071595975,0.29896130000000287,0.0,S3,MAKER_PROMO_OFF,97,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
