inventory_drag,max_drawdown,net_pnl,paired_grid_pnl,profile_id,runs,window_key
40.69921739317804,5.912560146719638,-37.682289741850894,38.63965778404149,D2-R3,36,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
33.58459181124325,4.302343268535278,106.1953759874112,170.73921477275593,D2-R3,36,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
15.397717565790076,3.9459332074317834,60.37447515136942,90.84159673754047,D2-R3,18,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
30.402199265870962,3.171705069899951,87.27162671657001,123.16057636727544,S0,18,KR_STOCK:2026-07-03T06:30:00+00:00:2026-07-06T00:00:00+00:00
21.056922396688897,4.5916976468814585,-0.058988352586797396,32.45461325369719,S0,18,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
45.388550948171876,3.1999130207912976,-8.340717608441704,42.601834383026684,S0,18,US_LEVERAGED_ETF:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
45.60670208468598,3.5292324123377874,27.693846912045874,79.71035954796186,S0,18,US_LEVERAGED_ETF:2026-06-26T20:00:00+00:00:2026-06-29T08:00:00+00:00
73.43100620418444,6.179440932033258,-7.97887592848307,33.570758606225354,S0,18,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
86.03282221045234,5.785267593193628,-12.310029756030742,84.88267778905347,S0,18,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
162.1624007731361,6.4468216266582505,-157.13220157141063,24.551181930149824,S0,36,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
175.15586672141097,7.430614296089008,-161.75692224052855,40.46117746359676,S0,36,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
167.92295905621629,5.939922031904351,-8.478946268673226,181.98448426164455,S0,36,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
24.09171756579015,4.428933207431788,51.68047515136934,90.84159673754047,S0,18,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
30.402199265870962,3.171705069899951,87.27162671657001,123.16057636727544,S1,18,KR_STOCK:2026-07-03T06:30:00+00:00:2026-07-06T00:00:00+00:00
21.056922396688897,4.5916976468814585,-0.05898835258679802,32.45461325369719,S1,18,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
45.388550948171876,3.1999130207912976,-8.340717608441704,42.601834383026684,S1,18,US_LEVERAGED_ETF:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
45.60670208468598,3.5292324123377874,27.693846912045874,79.71035954796186,S1,18,US_LEVERAGED_ETF:2026-06-26T20:00:00+00:00:2026-06-29T08:00:00+00:00
73.43100620418444,6.179440932033258,-7.97887592848307,33.570758606225354,S1,18,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
86.03282221045234,5.785267593193628,-12.310029756030742,84.88267778905347,S1,18,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
162.1624007731361,6.4468216266582505,-157.13220157141063,24.551181930149824,S1,36,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
175.15586672141097,7.430614296089008,-161.75692224052855,40.46117746359676,S1,36,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
167.92295905621629,5.939922031904351,-8.478946268673226,181.98448426164455,S1,36,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
24.09171756579015,4.428933207431788,51.68047515136934,90.84159673754047,S1,18,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
30.402199265870962,3.2195121473999513,85.99061698157,123.16057636727544,S2,18,KR_STOCK:2026-07-03T06:30:00+00:00:2026-07-06T00:00:00+00:00
20.95000239668892,4.588708341881459,0.0481722174131789,32.45461325369719,S2,18,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
45.388550948171876,3.2377084082912972,-9.988186283441735,42.601834383026684,S2,18,US_LEVERAGED_ETF:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
45.60670208468598,3.562787004837787,26.480465067045873,79.71035954796186,S2,18,US_LEVERAGED_ETF:2026-06-26T20:00:00+00:00:2026-06-29T08:00:00+00:00
73.43100620418444,6.260649462033259,-11.858979148483062,33.570758606225354,S2,18,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
86.03282221045234,5.785267593193628,-12.310029756030742,84.88267778905347,S2,18,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
162.1624007731361,6.5291803966582505,-161.29551508141066,24.551181930149824,S2,36,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
175.15586672141097,7.4935291285890075,-170.67388167052854,40.46117746359676,S2,36,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
167.92295905621629,6.001382131904352,-17.286201368673225,181.98448426164455,S2,36,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
22.352917565790133,4.380947157431788,53.41536285136936,90.84159673754047,S2,18,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
30.402199265870962,3.291222763649951,84.06910237906999,123.16057636727544,S3,18,KR_STOCK:2026-07-03T06:30:00+00:00:2026-07-06T00:00:00+00:00
20.78962239668896,4.584224384381459,0.2089130724131431,32.45461325369719,S3,18,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
45.388550948171876,3.2944014895412974,-12.45938929594178,42.601834383026684,S3,18,US_LEVERAGED_ETF:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
45.60670208468598,3.6131188935877874,24.66039229954588,79.71035954796186,S3,18,US_LEVERAGED_ETF:2026-06-26T20:00:00+00:00:2026-06-29T08:00:00+00:00
73.43100620418444,6.382462257033258,-17.67913397848305,33.570758606225354,S3,18,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
86.03282221045234,5.785267593193628,-12.310029756030742,84.88267778905347,S3,18,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
162.1624007731361,6.652718551658251,-167.54048534641063,24.551181930149824,S3,36,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
175.15586672141097,7.587901377339008,-184.04932081552855,40.46117746359676,S3,36,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
167.92295905621629,6.093572281904351,-30.497084018673224,181.98448426164455,S3,36,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
19.744717565790115,4.308968082431787,56.01769440136938,90.84159673754047,S3,18,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
