classification,combination_id,direction,max_adverse_excursion_after_stop,max_favorable_excursion_after_stop,reentered_within_120m,reentered_within_240m,reentered_within_30m,reentered_within_60m,return_after_120m,return_after_240m,return_after_30m,return_after_60m,return_at_window_end,scenario,seed,stop_index,stop_price,stop_reason,symbol,time_to_reenter_original_grid,window_key
AMBIGUOUS,11141,NEUTRAL,-0.027228007594499837,0.02174788562223129,True,True,True,True,-0.005106150394108444,0.00011506817789541657,-0.005890052356021025,-0.0021143777688280574,-0.000201369311316979,MAKER_PROMO_OFF,59,6,1390.48,inventory_drag_close,SNDKUSDT,1,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
AMBIGUOUS,11141,NEUTRAL,-0.027228007594499837,0.02174788562223129,True,True,True,True,-0.005106150394108444,0.00011506817789541657,-0.005890052356021025,-0.0021143777688280574,-0.000201369311316979,MAKER_PROMO_OFF,97,6,1390.48,inventory_drag_close,SNDKUSDT,1,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
AMBIGUOUS,11112,NEUTRAL,-0.04374014662528547,0.004404414311872218,True,True,True,True,-0.005712306202235395,-0.0351221995206753,-0.0016825852427377885,-7.069685893845712e-05,-0.01717226703617558,PRIMARY_ZERO_MAKER,3,2717,1414.49,atr_stop_upper,SNDKUSDT,21,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
AMBIGUOUS,11112,NEUTRAL,-0.04374014662528547,0.004404414311872218,True,True,True,True,-0.005712306202235395,-0.0351221995206753,-0.0016825852427377885,-7.069685893845712e-05,-0.01717226703617558,PRIMARY_ZERO_MAKER,10,2717,1414.49,atr_stop_upper,SNDKUSDT,21,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
AMBIGUOUS,11112,NEUTRAL,-0.04374014662528547,0.004404414311872218,True,True,True,True,-0.005712306202235395,-0.0351221995206753,-0.0016825852427377885,-7.069685893845712e-05,-0.01717226703617558,PRIMARY_ZERO_MAKER,17,2717,1414.49,atr_stop_upper,SNDKUSDT,21,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
AMBIGUOUS,11112,NEUTRAL,-0.04374014662528547,0.004404414311872218,True,True,True,True,-0.005712306202235395,-0.0351221995206753,-0.0016825852427377885,-7.069685893845712e-05,-0.01717226703617558,PRIMARY_ZERO_MAKER,31,2717,1414.49,atr_stop_upper,SNDKUSDT,21,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
AMBIGUOUS,11112,NEUTRAL,-0.04374014662528547,0.004404414311872218,True,True,True,True,-0.005712306202235395,-0.0351221995206753,-0.0016825852427377885,-7.069685893845712e-05,-0.01717226703617558,PRIMARY_ZERO_MAKER,59,2717,1414.49,atr_stop_upper,SNDKUSDT,21,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
AMBIGUOUS,11112,NEUTRAL,-0.04374014662528547,0.004404414311872218,True,True,True,True,-0.005712306202235395,-0.0351221995206753,-0.0016825852427377885,-7.069685893845712e-05,-0.01717226703617558,PRIMARY_ZERO_MAKER,97,2717,1414.49,atr_stop_upper,SNDKUSDT,21,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
AMBIGUOUS,11112,NEUTRAL,-0.04374014662528547,0.004404414311872218,True,True,True,True,-0.005712306202235395,-0.0351221995206753,-0.0016825852427377885,-7.069685893845712e-05,-0.01717226703617558,EXECUTION_STRESS,3,2717,1414.49,atr_stop_upper,SNDKUSDT,21,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
AMBIGUOUS,11112,NEUTRAL,-0.04374014662528547,0.004404414311872218,True,True,True,True,-0.005712306202235395,-0.0351221995206753,-0.0016825852427377885,-7.069685893845712e-05,-0.01717226703617558,EXECUTION_STRESS,10,2717,1414.49,atr_stop_upper,SNDKUSDT,21,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
AMBIGUOUS,11112,NEUTRAL,-0.04374014662528547,0.004404414311872218,True,True,True,True,-0.005712306202235395,-0.0351221995206753,-0.0016825852427377885,-7.069685893845712e-05,-0.01717226703617558,EXECUTION_STRESS,17,2717,1414.49,atr_stop_upper,SNDKUSDT,21,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
AMBIGUOUS,11112,NEUTRAL,-0.04374014662528547,0.004404414311872218,True,True,True,True,-0.005712306202235395,-0.0351221995206753,-0.0016825852427377885,-7.069685893845712e-05,-0.01717226703617558,EXECUTION_STRESS,31,2717,1414.49,atr_stop_upper,SNDKUSDT,21,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
AMBIGUOUS,11112,NEUTRAL,-0.04374014662528547,0.004404414311872218,True,True,True,True,-0.005712306202235395,-0.0351221995206753,-0.0016825852427377885,-7.069685893845712e-05,-0.01717226703617558,EXECUTION_STRESS,59,2717,1414.49,atr_stop_upper,SNDKUSDT,21,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
AMBIGUOUS,11112,NEUTRAL,-0.04374014662528547,0.004404414311872218,True,True,True,True,-0.005712306202235395,-0.0351221995206753,-0.0016825852427377885,-7.069685893845712e-05,-0.01717226703617558,EXECUTION_STRESS,97,2717,1414.49,atr_stop_upper,SNDKUSDT,21,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
AMBIGUOUS,11112,NEUTRAL,-0.04374014662528547,0.004404414311872218,True,True,True,True,-0.005712306202235395,-0.0351221995206753,-0.0016825852427377885,-7.069685893845712e-05,-0.01717226703617558,MAKER_PROMO_OFF,3,2717,1414.49,atr_stop_upper,SNDKUSDT,20,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
AMBIGUOUS,11112,NEUTRAL,-0.04374014662528547,0.004404414311872218,True,True,True,True,-0.005712306202235395,-0.0351221995206753,-0.0016825852427377885,-7.069685893845712e-05,-0.01717226703617558,MAKER_PROMO_OFF,10,2717,1414.49,atr_stop_upper,SNDKUSDT,20,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
