interaction,left_level,mean_total_pnl,median_total_pnl,profile_count,right_level,scenario
BxD,1,4.416310459608954,5.709589847361613,12,3,PRIMARY_ZERO_MAKER
BxD,1,-0.8013199177416533,-0.6738419570578421,6,4,PRIMARY_ZERO_MAKER
BxD,2,4.282368731135869,5.198980005604222,12,1,PRIMARY_ZERO_MAKER
BxD,2,1.213454777766405,3.3235611961723337,8,2,PRIMARY_ZERO_MAKER
BxD,2,3.0457780290268905,4.476825864602702,14,3,PRIMARY_ZERO_MAKER
BxD,2,-0.4687998755349052,-0.4224396638063648,14,4,PRIMARY_ZERO_MAKER
BxD,3,-2.1296598966230986,-1.0067270633509455,5,1,PRIMARY_ZERO_MAKER
BxD,3,-0.9231246926456549,-1.1854254779256976,5,2,PRIMARY_ZERO_MAKER
BxD,3,-4.302549446311815,-5.537760088497052,7,3,PRIMARY_ZERO_MAKER
BxD,3,-0.1872598066802255,-0.20402250216710327,10,4,PRIMARY_ZERO_MAKER
CxD,1,5.06238889392171,6.7599995608749035,21,1,PRIMARY_ZERO_MAKER
CxD,1,-0.8970694371143189,-0.3548226365720022,4,2,PRIMARY_ZERO_MAKER
CxD,1,3.0877140835436863,7.771455399651017,7,3,PRIMARY_ZERO_MAKER
CxD,1,-0.6420837398486186,-0.08275323432980777,5,4,PRIMARY_ZERO_MAKER
CxD,2,4.135463552669781,5.188187870636172,10,1,PRIMARY_ZERO_MAKER
CxD,2,3.305639732132139,3.305639732132139,2,2,PRIMARY_ZERO_MAKER
CxD,2,0.011139326927194153,-1.0008554991668044,9,3,PRIMARY_ZERO_MAKER
CxD,2,-0.4110354294497408,-0.20402250216710327,10,4,PRIMARY_ZERO_MAKER
CxD,3,2.299707306484706,2.8037409682960908,6,1,PRIMARY_ZERO_MAKER
CxD,3,0.8352957707624749,0.8456324942351805,4,2,PRIMARY_ZERO_MAKER
CxD,3,3.6819916758719096,4.545104642157165,10,3,PRIMARY_ZERO_MAKER
CxD,3,-0.3640903827417031,-0.22044334554056244,7,4,PRIMARY_ZERO_MAKER
CxD,4,-0.9103001076794343,-0.3153988250148417,4,1,PRIMARY_ZERO_MAKER
CxD,4,0.23350935797425754,1.739671998901878,9,2,PRIMARY_ZERO_MAKER
CxD,4,0.9978003588045093,1.739671998901878,7,3,PRIMARY_ZERO_MAKER
CxD,4,-0.4217887697260533,-0.20402250216710327,8,4,PRIMARY_ZERO_MAKER
CxE,1,1.8345641290663164,0.667529698542911,18,1,PRIMARY_ZERO_MAKER
CxE,1,2.619253656209269,4.179687378325173,7,2,PRIMARY_ZERO_MAKER
CxE,1,3.3361360871309147,6.513200916658347,4,3,PRIMARY_ZERO_MAKER
CxE,1,5.665786893918604,5.665786893918604,2,4,PRIMARY_ZERO_MAKER
CxE,1,7.515403476073651,7.889168674828918,6,5,PRIMARY_ZERO_MAKER
CxE,2,2.7286892219557015,2.7286892219557015,2,1,PRIMARY_ZERO_MAKER
CxE,2,0.272978094703009,-0.4224396638063648,6,2,PRIMARY_ZERO_MAKER
CxE,2,0.32379599571207235,-0.12839121335778042,8,3,PRIMARY_ZERO_MAKER
CxE,2,2.9262108105900504,3.803408657248757,9,4,PRIMARY_ZERO_MAKER
CxE,2,1.3223837276121557,-0.48969984565441654,6,5,PRIMARY_ZERO_MAKER
CxE,3,0.19342851582276718,-0.4703723190041596,6,1,PRIMARY_ZERO_MAKER
CxE,3,2.156596116530201,0.050368242179875455,4,2,PRIMARY_ZERO_MAKER
CxE,3,3.282580960919478,4.105192061778436,6,3,PRIMARY_ZERO_MAKER
CxE,3,1.5699259411993352,1.058755937766086,8,4,PRIMARY_ZERO_MAKER
CxE,3,3.122954048438785,3.7546717236011817,3,5,PRIMARY_ZERO_MAKER
