accepted_fill_count,baseline_atr,combination_id,cooldown_count,crossings_per_hour,direction,engine_mode,force_close_at,grid_count,grid_lower,grid_upper,inventory_drag,inventory_drag_ratio,inventory_forced_exit_count,inventory_realized_pnl,loss_component,max_drawdown,max_drawdown_pct,max_inventory_utilization,max_unpaired_lot_age,max_unpaired_lots,mean_inventory_utilization,net_capacity_per_hour,net_pnl,pair_completion_count,paired_grid_pnl,peak_negative_unrealized_pnl,pre_exit_inventory_notional,pre_exit_unrealized_pnl,profit_factor_component,profit_protection_close_count,profit_protection_reduce_count,profit_protection_suppress_count,reentry_count,regrid_count,rejected_fill_count,scenario,seed,session_count,step_pct,stop_loss_count,stopped_at_index,stopped_at_price,stopped_reason,symbol,take_profit_count,window_force_close_count,window_key
16,0.25357142857143344,31211,1,1.6,NEUTRAL,R1_CONTROLLER_FAITHFUL,2026-05-18T06:00:00+00:00,6,700.4643850461412,743.7920789665211,0.0,0.0,0,0.9634695803619548,0.0,2.922267619419997,0.0058445352388399935,0.442752,2055,3,0.18999877451813132,0.0025386427843941367,5.374057480924448,7,4.71500547112824,2.8330999999999937,151.5654,-0.0,5.374057480924448,0,0,0,0,0,2,MAKER_PROMO_OFF,97,1,0.009064771740246336,0,,720.6573900000001,fixed_take_profit,MUUSDT,1,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
13,0.25357142857143344,31212,1,1.6,NEUTRAL,R1_CONTROLLER_FAITHFUL,2026-05-18T06:00:00+00:00,6,700.4643850461412,743.7920789665211,0.0,0.0,0,1.0380681460123355,0.0,2.906645679419987,0.005813291358839974,0.442752,2055,3,0.18976759488356837,0.003178642784394137,5.04586919077663,6,4.0466241244828165,2.8330999999999937,72.51,-0.0,5.04586919077663,0,0,0,0,0,6,PRIMARY_ZERO_MAKER,3,1,0.009064771740246336,0,,725.8250999999999,fixed_take_profit,MUUSDT,1,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
13,0.25357142857143344,31212,1,1.6,NEUTRAL,R1_CONTROLLER_FAITHFUL,2026-05-18T06:00:00+00:00,6,700.4643850461412,743.7920789665211,0.0,0.0,0,1.0380681460123355,0.0,2.906645679419987,0.005813291358839974,0.442752,2052,3,0.1889880444735979,0.003178642784394137,5.04586919077663,6,4.0466241244828165,2.8330999999999937,72.51,-0.0,5.04586919077663,0,0,0,0,0,6,PRIMARY_ZERO_MAKER,10,1,0.009064771740246336,0,,725.8250999999999,fixed_take_profit,MUUSDT,1,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
13,0.25357142857143344,31212,1,1.6,NEUTRAL,R1_CONTROLLER_FAITHFUL,2026-05-18T06:00:00+00:00,6,700.4643850461412,743.7920789665211,0.0,0.0,0,1.0380681460123355,0.0,2.906645679419987,0.005813291358839974,0.442752,2056,3,0.18956099580190225,0.003178642784394137,5.04586919077663,6,4.0466241244828165,2.8330999999999937,72.51,-0.0,5.04586919077663,0,0,0,0,0,4,PRIMARY_ZERO_MAKER,17,1,0.009064771740246336,0,,725.8250999999999,fixed_take_profit,MUUSDT,1,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
13,0.25357142857143344,31212,1,1.6,NEUTRAL,R1_CONTROLLER_FAITHFUL,2026-05-18T06:00:00+00:00,6,700.4643850461412,743.7920789665211,0.0,0.0,0,1.0380681460123355,0.0,2.906645679419987,0.005813291358839974,0.442752,2055,3,0.1892107331584126,0.003178642784394137,5.04586919077663,6,4.0466241244828165,2.8330999999999937,72.51,-0.0,5.04586919077663,0,0,0,0,0,9,PRIMARY_ZERO_MAKER,31,1,0.009064771740246336,0,,725.8250999999999,fixed_take_profit,MUUSDT,1,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
13,0.25357142857143344,31212,1,1.6,NEUTRAL,R1_CONTROLLER_FAITHFUL,2026-05-18T06:00:00+00:00,6,700.4643850461412,743.7920789665211,0.0,0.0,0,1.0380681460123355,0.0,2.906645679419987,0.005813291358839974,0.442752,2055,3,0.18959409740898656,0.003178642784394137,5.04586919077663,6,4.0466241244828165,2.8330999999999937,72.51,-0.0,5.04586919077663,0,0,0,0,0,10,PRIMARY_ZERO_MAKER,59,1,0.009064771740246336,0,,725.8250999999999,fixed_take_profit,MUUSDT,1,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
13,0.25357142857143344,31212,1,1.6,NEUTRAL,R1_CONTROLLER_FAITHFUL,2026-05-18T06:00:00+00:00,6,700.4643850461412,743.7920789665211,0.0,0.0,0,1.0380681460123355,0.0,2.906645679419987,0.005813291358839974,0.442752,2055,3,0.18964111328304364,0.003178642784394137,5.04586919077663,6,4.0466241244828165,2.8330999999999937,72.51,-0.0,5.04586919077663,0,0,0,0,0,2,PRIMARY_ZERO_MAKER,97,1,0.009064771740246336,0,,725.8250999999999,fixed_take_profit,MUUSDT,1,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
13,0.25357142857143344,31212,1,1.6,NEUTRAL,R1_CONTROLLER_FAITHFUL,2026-05-18T06:00:00+00:00,6,700.4643850461412,743.7920789665211,0.0,0.0,0,1.1468331460123409,0.0,2.906645679419987,0.005813291358839974,0.442752,2057,3,0.18972751006887503,0.003178642784394137,5.136406989526635,6,4.0466241244828165,2.8330999999999937,72.51,-0.0,5.136406989526635,0,0,0,0,0,13,EXECUTION_STRESS,3,1,0.009064771740246336,0,,726.91275,fixed_take_profit,MUUSDT,1,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
13,0.25357142857143344,31212,1,1.6,NEUTRAL,R1_CONTROLLER_FAITHFUL,2026-05-18T06:00:00+00:00,6,700.4643850461412,743.7920789665211,0.0,0.0,0,1.1468331460123409,0.0,2.906645679419987,0.005813291358839974,0.442752,2054,3,0.1896233150541161,0.003178642784394137,5.136406989526635,6,4.0466241244828165,2.8330999999999937,72.51,-0.0,5.136406989526635,0,0,0,0,0,16,EXECUTION_STRESS,10,1,0.009064771740246336,0,,726.91275,fixed_take_profit,MUUSDT,1,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
13,0.25357142857143344,31212,1,1.6,NEUTRAL,R1_CONTROLLER_FAITHFUL,2026-05-18T06:00:00+00:00,6,700.4643850461412,743.7920789665211,0.0,0.0,0,1.1468331460123409,0.0,2.906645679419987,0.005813291358839974,0.442752,2059,3,0.189712721416858,0.003178642784394137,5.136406989526635,6,4.0466241244828165,2.8330999999999937,72.51,-0.0,5.136406989526635,0,0,0,0,0,9,EXECUTION_STRESS,17,1,0.009064771740246336,0,,726.91275,fixed_take_profit,MUUSDT,1,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
13,0.25357142857143344,31212,1,1.6,NEUTRAL,R1_CONTROLLER_FAITHFUL,2026-05-18T06:00:00+00:00,6,700.4643850461412,743.7920789665211,0.0,0.0,0,1.1468331460123409,0.0,2.906645679419987,0.005813291358839974,0.442752,2054,3,0.18936876313545425,0.003178642784394137,5.136406989526635,6,4.0466241244828165,2.8330999999999937,72.51,-0.0,5.136406989526635,0,0,0,0,0,21,EXECUTION_STRESS,31,1,0.009064771740246336,0,,726.91275,fixed_take_profit,MUUSDT,1,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
13,0.25357142857143344,31212,1,1.6,NEUTRAL,R1_CONTROLLER_FAITHFUL,2026-05-18T06:00:00+00:00,6,700.4643850461412,743.7920789665211,0.0,0.0,0,1.1468331460123409,0.0,2.906645679419987,0.005813291358839974,0.442752,2055,3,0.18846148947195804,0.003178642784394137,5.136406989526635,6,4.0466241244828165,2.8330999999999937,72.51,-0.0,5.136406989526635,0,0,0,0,0,21,EXECUTION_STRESS,59,1,0.009064771740246336,0,,726.91275,fixed_take_profit,MUUSDT,1,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
