code,market_group,profile,reason,scenario,split,symbol,window_end,window_key,window_start
VIABILITY_BLOCKED,US_STOCK,N100,Grid Viability Gate 未通过：预计穿越频率不足 (0.6316 < 1.0000/h),EXECUTION_STRESS,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-06-01T05:59:00+00:00,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00,2026-05-29T20:00:00+00:00
VIABILITY_BLOCKED,US_STOCK,N100,Grid Viability Gate 未通过：预计穿越频率不足 (0.6316 < 1.0000/h)；预计费后循环容量不足 (0.000225 < 0.000250/h),MAKER_PROMO_OFF,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-06-01T05:59:00+00:00,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00,2026-05-29T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N100,BLOCKED_SCORE,MAKER_PROMO_OFF,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-06-08T05:59:00+00:00,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00,2026-06-05T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N20,BLOCKED_SCORE,PRIMARY_ZERO_MAKER,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-06-15T05:59:00+00:00,US_STOCK:2026-06-12T20:00:00+00:00:2026-06-15T08:00:00+00:00,2026-06-12T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N20,BLOCKED_SCORE,EXECUTION_STRESS,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-06-15T05:59:00+00:00,US_STOCK:2026-06-12T20:00:00+00:00:2026-06-15T08:00:00+00:00,2026-06-12T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N20,BLOCKED_SCORE,MAKER_PROMO_OFF,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-06-15T05:59:00+00:00,US_STOCK:2026-06-12T20:00:00+00:00:2026-06-15T08:00:00+00:00,2026-06-12T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N100,BLOCKED_SCORE,PRIMARY_ZERO_MAKER,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-06-15T05:59:00+00:00,US_STOCK:2026-06-12T20:00:00+00:00:2026-06-15T08:00:00+00:00,2026-06-12T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N100,BLOCKED_SCORE,EXECUTION_STRESS,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-06-15T05:59:00+00:00,US_STOCK:2026-06-12T20:00:00+00:00:2026-06-15T08:00:00+00:00,2026-06-12T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N100,BLOCKED_SCORE,MAKER_PROMO_OFF,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-06-15T05:59:00+00:00,US_STOCK:2026-06-12T20:00:00+00:00:2026-06-15T08:00:00+00:00,2026-06-12T20:00:00+00:00
ADMISSION_BLOCKED,US_STOCK,N100,没有网格候选满足交易所最小下单量或最小名义金额。,PRIMARY_ZERO_MAKER,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-06-22T05:59:00+00:00,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00,2026-06-18T20:00:00+00:00
ADMISSION_BLOCKED,US_STOCK,N100,没有网格候选满足交易所最小下单量或最小名义金额。,EXECUTION_STRESS,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-06-22T05:59:00+00:00,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00,2026-06-18T20:00:00+00:00
ADMISSION_BLOCKED,US_STOCK,N100,没有网格候选同时满足经济性与交易所下单约束。,MAKER_PROMO_OFF,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-06-22T05:59:00+00:00,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00,2026-06-18T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N20,BLOCKED_SCORE,PRIMARY_ZERO_MAKER,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-06-29T05:59:00+00:00,US_STOCK:2026-06-26T20:00:00+00:00:2026-06-29T08:00:00+00:00,2026-06-26T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N20,BLOCKED_SCORE,EXECUTION_STRESS,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-06-29T05:59:00+00:00,US_STOCK:2026-06-26T20:00:00+00:00:2026-06-29T08:00:00+00:00,2026-06-26T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N20,BLOCKED_SCORE,MAKER_PROMO_OFF,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-06-29T05:59:00+00:00,US_STOCK:2026-06-26T20:00:00+00:00:2026-06-29T08:00:00+00:00,2026-06-26T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N100,BLOCKED_SCORE,PRIMARY_ZERO_MAKER,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-06-29T05:59:00+00:00,US_STOCK:2026-06-26T20:00:00+00:00:2026-06-29T08:00:00+00:00,2026-06-26T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N100,BLOCKED_SCORE,EXECUTION_STRESS,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-06-29T05:59:00+00:00,US_STOCK:2026-06-26T20:00:00+00:00:2026-06-29T08:00:00+00:00,2026-06-26T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N100,BLOCKED_SCORE,MAKER_PROMO_OFF,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-06-29T05:59:00+00:00,US_STOCK:2026-06-26T20:00:00+00:00:2026-06-29T08:00:00+00:00,2026-06-26T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N20,BLOCKED_SCORE,PRIMARY_ZERO_MAKER,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-07-06T05:59:00+00:00,US_STOCK:2026-07-02T20:00:00+00:00:2026-07-06T08:00:00+00:00,2026-07-02T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N20,BLOCKED_SCORE,EXECUTION_STRESS,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-07-06T05:59:00+00:00,US_STOCK:2026-07-02T20:00:00+00:00:2026-07-06T08:00:00+00:00,2026-07-02T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N20,BLOCKED_SCORE,MAKER_PROMO_OFF,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-07-06T05:59:00+00:00,US_STOCK:2026-07-02T20:00:00+00:00:2026-07-06T08:00:00+00:00,2026-07-02T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N100,BLOCKED_SCORE,PRIMARY_ZERO_MAKER,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-07-06T05:59:00+00:00,US_STOCK:2026-07-02T20:00:00+00:00:2026-07-06T08:00:00+00:00,2026-07-02T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N100,BLOCKED_SCORE,EXECUTION_STRESS,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-07-06T05:59:00+00:00,US_STOCK:2026-07-02T20:00:00+00:00:2026-07-06T08:00:00+00:00,2026-07-02T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N100,BLOCKED_SCORE,MAKER_PROMO_OFF,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-07-06T05:59:00+00:00,US_STOCK:2026-07-02T20:00:00+00:00:2026-07-06T08:00:00+00:00,2026-07-02T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N20,BLOCKED_SCORE,PRIMARY_ZERO_MAKER,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-07-13T05:59:00+00:00,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00,2026-07-10T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N20,BLOCKED_SCORE,EXECUTION_STRESS,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-07-13T05:59:00+00:00,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00,2026-07-10T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N20,BLOCKED_SCORE,MAKER_PROMO_OFF,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-07-13T05:59:00+00:00,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00,2026-07-10T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N100,BLOCKED_SCORE,PRIMARY_ZERO_MAKER,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-07-13T05:59:00+00:00,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00,2026-07-10T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N100,BLOCKED_SCORE,EXECUTION_STRESS,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-07-13T05:59:00+00:00,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00,2026-07-10T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N100,BLOCKED_SCORE,MAKER_PROMO_OFF,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-07-13T05:59:00+00:00,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00,2026-07-10T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N20,BLOCKED_SCORE,PRIMARY_ZERO_MAKER,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-07-20T05:59:00+00:00,US_STOCK:2026-07-17T20:00:00+00:00:2026-07-20T08:00:00+00:00,2026-07-17T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N20,BLOCKED_SCORE,EXECUTION_STRESS,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-07-20T05:59:00+00:00,US_STOCK:2026-07-17T20:00:00+00:00:2026-07-20T08:00:00+00:00,2026-07-17T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N20,BLOCKED_SCORE,MAKER_PROMO_OFF,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-07-20T05:59:00+00:00,US_STOCK:2026-07-17T20:00:00+00:00:2026-07-20T08:00:00+00:00,2026-07-17T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N100,BLOCKED_SCORE,PRIMARY_ZERO_MAKER,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-07-20T05:59:00+00:00,US_STOCK:2026-07-17T20:00:00+00:00:2026-07-20T08:00:00+00:00,2026-07-17T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N100,BLOCKED_SCORE,EXECUTION_STRESS,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-07-20T05:59:00+00:00,US_STOCK:2026-07-17T20:00:00+00:00:2026-07-20T08:00:00+00:00,2026-07-17T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N100,BLOCKED_SCORE,MAKER_PROMO_OFF,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-07-20T05:59:00+00:00,US_STOCK:2026-07-17T20:00:00+00:00:2026-07-20T08:00:00+00:00,2026-07-17T20:00:00+00:00
INCOMPLETE_WINDOW,US_STOCK,ALL,data cutoff precedes force_close_at=2026-07-27T06:00:00+00:00,,INCOMPLETE_WINDOW,SNDKUSDT,2026-07-25T08:34:00+00:00,US_STOCK:2026-07-24T20:00:00+00:00:2026-07-27T08:00:00+00:00,2026-07-24T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N20,BLOCKED_HARD,PRIMARY_ZERO_MAKER,RESEARCH_VALIDATION_EXPOSED,MUUSDT,2026-04-13T05:59:00+00:00,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00,2026-04-10T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N20,BLOCKED_HARD,EXECUTION_STRESS,RESEARCH_VALIDATION_EXPOSED,MUUSDT,2026-04-13T05:59:00+00:00,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00,2026-04-10T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N20,BLOCKED_HARD,MAKER_PROMO_OFF,RESEARCH_VALIDATION_EXPOSED,MUUSDT,2026-04-13T05:59:00+00:00,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00,2026-04-10T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N100,BLOCKED_HARD,PRIMARY_ZERO_MAKER,RESEARCH_VALIDATION_EXPOSED,MUUSDT,2026-04-13T05:59:00+00:00,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00,2026-04-10T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N100,BLOCKED_HARD,EXECUTION_STRESS,RESEARCH_VALIDATION_EXPOSED,MUUSDT,2026-04-13T05:59:00+00:00,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00,2026-04-10T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N100,BLOCKED_HARD,MAKER_PROMO_OFF,RESEARCH_VALIDATION_EXPOSED,MUUSDT,2026-04-13T05:59:00+00:00,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00,2026-04-10T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N20,BLOCKED_TREND,PRIMARY_ZERO_MAKER,RESEARCH_VALIDATION_EXPOSED,MUUSDT,2026-04-20T05:59:00+00:00,US_STOCK:2026-04-17T20:00:00+00:00:2026-04-20T08:00:00+00:00,2026-04-17T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N20,BLOCKED_TREND,EXECUTION_STRESS,RESEARCH_VALIDATION_EXPOSED,MUUSDT,2026-04-20T05:59:00+00:00,US_STOCK:2026-04-17T20:00:00+00:00:2026-04-20T08:00:00+00:00,2026-04-17T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N20,BLOCKED_TREND,MAKER_PROMO_OFF,RESEARCH_VALIDATION_EXPOSED,MUUSDT,2026-04-20T05:59:00+00:00,US_STOCK:2026-04-17T20:00:00+00:00:2026-04-20T08:00:00+00:00,2026-04-17T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N100,BLOCKED_TREND,PRIMARY_ZERO_MAKER,RESEARCH_VALIDATION_EXPOSED,MUUSDT,2026-04-20T05:59:00+00:00,US_STOCK:2026-04-17T20:00:00+00:00:2026-04-20T08:00:00+00:00,2026-04-17T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N100,BLOCKED_TREND,EXECUTION_STRESS,RESEARCH_VALIDATION_EXPOSED,MUUSDT,2026-04-20T05:59:00+00:00,US_STOCK:2026-04-17T20:00:00+00:00:2026-04-20T08:00:00+00:00,2026-04-17T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N100,BLOCKED_TREND,MAKER_PROMO_OFF,RESEARCH_VALIDATION_EXPOSED,MUUSDT,2026-04-20T05:59:00+00:00,US_STOCK:2026-04-17T20:00:00+00:00:2026-04-20T08:00:00+00:00,2026-04-17T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N20,BLOCKED_HARD,PRIMARY_ZERO_MAKER,RESEARCH_VALIDATION_EXPOSED,MUUSDT,2026-04-27T05:59:00+00:00,US_STOCK:2026-04-24T20:00:00+00:00:2026-04-27T08:00:00+00:00,2026-04-24T20:00:00+00:00
