accepted_fill_count,duration_bars,force_exit_cost,inventory_realized_pnl,paired_grid_pnl,pre_exit_inventory_notional,pre_exit_position_qty,pre_exit_unrealized_pnl,profile,scenario,seed,session_end,session_index,session_pnl,session_start,state_path,stop_exit_cost,stopped_reason,symbol,window_key
10,2985,0.0,-5.354130503842537,4.527667908032538,229.81170797141095,0.16999999999999998,-4.779601233914018,N20,EXECUTION_STRESS,59,2026-05-18T00:44:00+00:00,1,-1.0151901650641106,2026-05-15T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.17192788402611184,stop_loss,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
10,2985,0.0,-5.354130503842537,4.527667908032538,229.81170797141095,0.16999999999999998,-4.779601233914018,N20,EXECUTION_STRESS,97,2026-05-18T00:44:00+00:00,1,-1.0151901650641106,2026-05-15T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.17192788402611184,stop_loss,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
12,2985,0.0,-5.12431879587113,5.655886389521804,229.81170797141095,0.16999999999999998,-4.779601233914018,N20,MAKER_PROMO_OFF,3,2026-05-18T00:44:00+00:00,1,0.10753341543060965,2026-05-15T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.11473349520472692,stop_loss,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
10,2985,0.0,-5.12431879587113,4.527667908032537,229.81170797141095,0.16999999999999998,-4.779601233914018,N20,MAKER_PROMO_OFF,10,2026-05-18T00:44:00+00:00,1,-0.9705400186802292,2026-05-15T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.11473349520472692,stop_loss,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
12,2985,0.0,-5.12431879587113,5.655886389521804,229.81170797141095,0.16999999999999998,-4.779601233914018,N20,MAKER_PROMO_OFF,17,2026-05-18T00:44:00+00:00,1,0.10753341543060965,2026-05-15T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.11473349520472692,stop_loss,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
8,2985,0.0,-5.12431879587113,3.3994494265432715,229.81170797141095,0.16999999999999998,-4.779601233914018,N20,MAKER_PROMO_OFF,31,2026-05-18T00:44:00+00:00,1,-2.048613452791067,2026-05-15T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.11473349520472692,stop_loss,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
10,2985,0.0,-5.12431879587113,4.527667908032538,229.81170797141095,0.16999999999999998,-4.779601233914018,N20,MAKER_PROMO_OFF,59,2026-05-18T00:44:00+00:00,1,-0.9705400186802283,2026-05-15T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.11473349520472692,stop_loss,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
12,2985,0.0,-5.12431879587113,5.655886389521804,229.81170797141095,0.16999999999999998,-4.779601233914018,N20,MAKER_PROMO_OFF,97,2026-05-18T00:44:00+00:00,1,0.10753341543060965,2026-05-15T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.11473349520472692,stop_loss,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
158,1306,0.0,-2.929022886779301,1.1568073410805642,121.10974343999193,-0.08,-2.8079131433393263,N100,PRIMARY_ZERO_MAKER,3,2026-05-23T20:45:00+00:00,1,-1.808743902697341,2026-05-22T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.060615426591715954,stop_loss_upper,SNDKUSDT,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00
158,1306,0.0,-2.929022886779301,1.1486063849582775,121.10974343999193,-0.08,-2.8079131433393263,N100,PRIMARY_ZERO_MAKER,10,2026-05-23T20:45:00+00:00,1,-1.8169448588196278,2026-05-22T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.060615426591715954,stop_loss_upper,SNDKUSDT,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00
