best_window_concentration,cvar_95,engine_mode,fees_paid,funding_paid,gross_grid_pnl,market_group,max_drawdown,max_drawdown_pct,mean_inventory_drag_ratio,mean_window_pnl,median_window_pnl,positive_ratio,profile,profit_factor,runs,scenario,top_3_window_concentration,total_cost,total_pnl,unique_windows,worst_window_pnl
1.0,4.392227234552383,R1_CONTROLLER_FAITHFUL,0.08368039679999999,0.0,4.475907631352382,KR_STOCK,0.0,0.0,0.0,4.392227234552383,4.392227234552383,1.0,L20,4.392227234552383,6,EXECUTION_STRESS,1.0,0.08368039679999999,4.392227234552383,1,4.392227234552383
1.0,8.587051155478267,R1_CONTROLLER_FAITHFUL,0.38556561394004557,0.0,8.972616769418314,KR_STOCK,0.0,0.0,0.0,8.587051155478267,8.587051155478267,1.0,L20,8.587051155478267,6,MAKER_PROMO_OFF,1.0,0.38556561394004557,8.587051155478267,1,8.587051155478267
1.0,8.916829838218312,R1_CONTROLLER_FAITHFUL,0.055786931199999994,0.0,8.972616769418314,KR_STOCK,0.0,0.0,0.0,8.916829838218312,8.916829838218312,1.0,L20,8.916829838218312,6,PRIMARY_ZERO_MAKER,1.0,0.055786931199999994,8.916829838218312,1,8.916829838218312
1.0,2.6369911334127747,R1_CONTROLLER_FAITHFUL,0.08593160509860102,0.0,2.6605449894763757,KR_STOCK,0.0,0.0,0.37875802759220445,2.6369911334127747,2.6369911334127747,1.0,N20,2.6369911334127747,6,EXECUTION_STRESS,1.0,0.08593160509860102,2.6369911334127747,1,2.6369911334127747
1.0,5.760663928146094,R1_CONTROLLER_FAITHFUL,0.3870092745979003,0.0,6.085295453708994,KR_STOCK,0.0,0.0,0.2178444427306173,5.760663928146094,5.760663928146094,1.0,N20,5.760663928146094,6,MAKER_PROMO_OFF,1.0,0.3870092745979003,5.760663928146094,1,5.760663928146094
1.0,6.147616057869466,R1_CONTROLLER_FAITHFUL,0.05720201942058164,0.0,6.142440328255046,KR_STOCK,0.0,0.0,0.2178444427306173,6.147616057869466,6.147616057869466,1.0,N20,6.147616057869466,6,PRIMARY_ZERO_MAKER,1.0,0.05720201942058164,6.147616057869466,1,6.147616057869466
1.0,-1.0798031566433557,R1_CONTROLLER_FAITHFUL,0.05902642025460594,0.0,-1.0207767363887497,US_LEVERAGED_ETF,1.1515316521163363,0.004606126608465345,1.9632653482227316,-1.0798031566433557,-1.0798031566433557,0.0,N100,0.0,6,EXECUTION_STRESS,1.0,0.05902642025460594,-1.0798031566433557,1,-1.0798031566433557
1.0,-0.47474254950710426,R1_CONTROLLER_FAITHFUL,0.03941012119254892,0.0,-0.4353324283145554,US_LEVERAGED_ETF,0.5606641095337036,0.0022426564381348144,1.2702404970778716,-0.47474254950710426,-0.47474254950710426,0.0,N100,0.0,6,PRIMARY_ZERO_MAKER,1.0,0.03941012119254892,-0.47474254950710426,1,-0.47474254950710426
1.0,-1.1490597917406464,R1_CONTROLLER_FAITHFUL,0.29229584698103356,0.01117076269063142,0.2870006629787979,US_LEVERAGED_ETF,1.6309772432570386,0.006523908973028155,0.8664531389944087,-0.0010883685384334152,-0.0010883685384334152,0.5,N20,0.9981056363711331,12,EXECUTION_STRESS,1.0,0.303466609671665,-0.0021767370768668304,2,-1.1490597917406464
1.0,-0.8828993485826139,R1_CONTROLLER_FAITHFUL,0.7625449115711158,0.014966014567894259,1.4708393146543233,US_LEVERAGED_ETF,1.545145210876115,0.00618058084350446,0.7998906439677957,0.3538087990656566,0.3538087990656566,0.5,N20,1.8014702913387648,12,MAKER_PROMO_OFF,1.0,0.7775109261390101,0.7076175981313132,2,-0.8828993485826139
1.0,-0.4081747387812509,R1_CONTROLLER_FAITHFUL,0.21590299398359317,0.014966014567894259,1.6866462107841758,US_LEVERAGED_ETF,1.2050435597687352,0.004820174239074941,0.7998906439677957,0.7350332059243441,0.7350332059243441,0.5,N20,4.601561469085735,12,PRIMARY_ZERO_MAKER,1.0,0.2308690085514874,1.4700664118486881,2,-0.4081747387812509
1.0,-3.0840081932993715,R1_CONTROLLER_FAITHFUL,0.29012654485126294,0.10180061748526352,-8.01759491503038,US_STOCK,3.2293461282736464,0.006458692256547293,10.213826493162097,-2.7758102760325545,-3.0267388032271207,0.0,N100,0.0,18,EXECUTION_STRESS,1.0,0.39192716233652647,-8.327430828097663,3,-3.0840081932993715
1.0,-2.828583524679354,R1_CONTROLLER_FAITHFUL,0.1935264303316101,0.1025895190056462,-6.925365717988173,US_STOCK,2.8491543375401096,0.005698308675080219,7.554612131142623,-2.3797968060187285,-2.4676098543648783,0.0,N100,0.0,18,PRIMARY_ZERO_MAKER,1.0,0.2961159493372563,-7.139390418056185,3,-2.828583524679354
1.0,-9.652840988419442,R1_CONTROLLER_FAITHFUL,1.6585007407222498,0.4117965678826711,-19.983305588402597,US_STOCK,10.452518482927736,0.011686042239533,41.56900903242687,-3.2854491678659663,-1.4337403529429837,0.16666666666666666,N20,0.04665730521685635,54,EXECUTION_STRESS,1.0,2.0702973086049212,-19.712695007195798,6,-9.652840988419442
1.0,-8.865470135563655,R1_CONTROLLER_FAITHFUL,3.73417786148972,0.4117965678826711,-14.991878462805994,US_STOCK,10.012360250159979,0.01121340109230013,41.44181030327078,-2.7608831411870427,-0.5514754515668658,0.16666666666666666,N20,0.04539974805279552,54,MAKER_PROMO_OFF,1.0,4.145974429372391,-16.565298847122257,6,-8.865470135563655
0.7108698921136456,-8.441175916104996,R1_CONTROLLER_FAITHFUL,1.1238461714882824,0.4117965678826711,-13.867997552914618,US_STOCK,9.640478740869966,0.010722352207499595,41.44181030327078,-2.1385143745382402,-0.2581178459235664,0.3333333333333333,N20,0.15215162079093125,54,PRIMARY_ZERO_MAKER,1.0,1.5356427393709535,-12.831086247229441,6,-8.441175916104996
