best_window_concentration,cvar_95,engine_mode,fees_paid,funding_paid,gross_grid_pnl,market_group,max_drawdown,max_drawdown_pct,mean_inventory_drag_ratio,mean_window_pnl,median_window_pnl,positive_ratio,profile,profit_factor,runs,scenario,seed,top_3_window_concentration,total_cost,total_pnl,unique_windows,worst_window_pnl
1.0,6.556272990532208,R0_STATIC_REPAIRED,0.41901539099692753,0.0,6.912910632494135,KR_STOCK,2.3518143075671434,0.004703628615134287,0.19251595483845774,6.556272990532208,6.556272990532208,1.0,N20,6.556272990532208,1,MAKER_PROMO_OFF,3,1.0,0.41901539099692753,6.556272990532208,1,6.556272990532208
1.0,6.556272990532208,R0_STATIC_REPAIRED,0.41901539099692753,0.0,6.912910632494135,KR_STOCK,2.454014307567147,0.004908028615134293,0.19251595483845774,6.556272990532208,6.556272990532208,1.0,N20,6.556272990532208,1,MAKER_PROMO_OFF,10,1.0,0.41901539099692753,6.556272990532208,1,6.556272990532208
1.0,6.556272990532208,R0_STATIC_REPAIRED,0.41901539099692753,0.0,6.912910632494135,KR_STOCK,2.454014307567147,0.004908028615134293,0.19251595483845774,6.556272990532208,6.556272990532208,1.0,N20,6.556272990532208,1,MAKER_PROMO_OFF,17,1.0,0.41901539099692753,6.556272990532208,1,6.556272990532208
1.0,6.556272990532208,R0_STATIC_REPAIRED,0.41901539099692753,0.0,6.912910632494135,KR_STOCK,2.454014307567147,0.004908028615134293,0.19251595483845774,6.556272990532208,6.556272990532208,1.0,N20,6.556272990532208,1,MAKER_PROMO_OFF,31,1.0,0.41901539099692753,6.556272990532208,1,6.556272990532208
1.0,4.1694458033738675,R0_STATIC_REPAIRED,0.32299704179984573,0.0,4.430065096138713,KR_STOCK,2.454014307567146,0.004908028615134292,0.2685014185149363,4.1694458033738675,4.1694458033738675,1.0,N20,4.1694458033738675,1,MAKER_PROMO_OFF,59,1.0,0.32299704179984573,4.1694458033738675,1,4.1694458033738675
1.0,4.1694458033738675,R0_STATIC_REPAIRED,0.32299704179984573,0.0,4.430065096138713,KR_STOCK,3.0287143075671485,0.006057428615134297,0.2685014185149363,4.1694458033738675,4.1694458033738675,1.0,N20,4.1694458033738675,1,MAKER_PROMO_OFF,97,1.0,0.32299704179984573,4.1694458033738675,1,4.1694458033738675
1.0,6.975231236654606,R0_STATIC_REPAIRED,0.05720201942058163,0.0,6.970055507040188,KR_STOCK,2.2946408605838187,0.0045892817211676375,0.19251595483845774,6.975231236654606,6.975231236654606,1.0,N20,6.975231236654606,1,PRIMARY_ZERO_MAKER,3,1.0,0.05720201942058163,6.975231236654606,1,6.975231236654606
1.0,6.975231236654606,R0_STATIC_REPAIRED,0.05720201942058163,0.0,6.970055507040188,KR_STOCK,2.396840860583822,0.004793681721167644,0.19251595483845774,6.975231236654606,6.975231236654606,1.0,N20,6.975231236654606,1,PRIMARY_ZERO_MAKER,10,1.0,0.05720201942058163,6.975231236654606,1,6.975231236654606
1.0,6.975231236654606,R0_STATIC_REPAIRED,0.05720201942058163,0.0,6.970055507040188,KR_STOCK,2.396840860583822,0.004793681721167644,0.19251595483845774,6.975231236654606,6.975231236654606,1.0,N20,6.975231236654606,1,PRIMARY_ZERO_MAKER,17,1.0,0.05720201942058163,6.975231236654606,1,6.975231236654606
1.0,6.975231236654606,R0_STATIC_REPAIRED,0.05720201942058163,0.0,6.970055507040188,KR_STOCK,2.396840860583822,0.004793681721167644,0.19251595483845774,6.975231236654606,6.975231236654606,1.0,N20,6.975231236654606,1,PRIMARY_ZERO_MAKER,31,1.0,0.05720201942058163,6.975231236654606,1,6.975231236654606
1.0,4.492385700299183,R0_STATIC_REPAIRED,0.05720201942058163,0.0,4.487209970684765,KR_STOCK,2.396840860583822,0.004793681721167644,0.2685014185149363,4.492385700299183,4.492385700299183,1.0,N20,4.492385700299183,1,PRIMARY_ZERO_MAKER,59,1.0,0.05720201942058163,4.492385700299183,1,4.492385700299183
1.0,4.492385700299183,R0_STATIC_REPAIRED,0.05720201942058163,0.0,4.487209970684765,KR_STOCK,2.971540860583824,0.0059430817211676475,0.2685014185149363,4.492385700299183,4.492385700299183,1.0,N20,4.492385700299183,1,PRIMARY_ZERO_MAKER,97,1.0,0.05720201942058163,4.492385700299183,1,4.492385700299183
1.0,-1.059059115093627,R0_STATIC_REPAIRED,0.05902642025460594,0.0,-1.000032694839021,US_LEVERAGED_ETF,1.9659457149456514,0.007863782859782606,1.9127496576219547,-1.059059115093627,-1.059059115093627,0.0,N100,0.0,1,EXECUTION_STRESS,3,1.0,0.05902642025460594,-1.059059115093627,1,-1.059059115093627
1.0,-1.0444055750083074,R0_STATIC_REPAIRED,0.05902642025460594,0.0,-0.9853791547537014,US_LEVERAGED_ETF,1.9328214159702632,0.007731285663881053,1.8814040177703,-1.0444055750083074,-1.0444055750083074,0.0,N100,0.0,1,EXECUTION_STRESS,10,1.0,0.05902642025460594,-1.0444055750083074,1,-1.0444055750083074
1.0,-1.1515316521163363,R0_STATIC_REPAIRED,0.05902642025460594,0.0,-1.0925052318617303,US_LEVERAGED_ETF,1.915967843909331,0.007663871375637324,2.137483258397048,-1.1515316521163363,-1.1515316521163363,0.0,N100,0.0,1,EXECUTION_STRESS,17,1.0,0.05902642025460594,-1.1515316521163363,1,-1.1515316521163363
1.0,-1.1054968644841519,R0_STATIC_REPAIRED,0.05902642025460594,0.0,-1.0464704442295458,US_LEVERAGED_ETF,1.9463019847762437,0.007785207939104975,2.0193698720410667,-1.1054968644841519,-1.1054968644841519,0.0,N100,0.0,1,EXECUTION_STRESS,31,1.0,0.05902642025460594,-1.1054968644841519,1,-1.1054968644841519
1.0,-1.0817116305608974,R0_STATIC_REPAIRED,0.05902642025460594,0.0,-1.0226852103062913,US_LEVERAGED_ETF,1.9239051942477285,0.0076956207769909146,1.9633157151095355,-1.0817116305608974,-1.0817116305608974,0.0,N100,0.0,1,EXECUTION_STRESS,59,1.0,0.05902642025460594,-1.0817116305608974,1,-1.0817116305608974
1.0,-1.036614102596814,R0_STATIC_REPAIRED,0.05902642025460594,0.0,-0.977587682342208,US_LEVERAGED_ETF,1.937385763053709,0.007749543052214836,1.8652695683964853,-1.036614102596814,-1.036614102596814,0.0,N100,0.0,1,EXECUTION_STRESS,97,1.0,0.05902642025460594,-1.036614102596814,1,-1.036614102596814
1.0,-0.4789914209570506,R0_STATIC_REPAIRED,0.03941012119254892,0.0,-0.43958129976450167,US_LEVERAGED_ETF,1.7645727783288199,0.007058291113315279,1.2729078333539778,-0.4789914209570506,-0.4789914209570506,0.0,N100,0.0,1,PRIMARY_ZERO_MAKER,3,1.0,0.03941012119254892,-0.4789914209570506,1,-0.4789914209570506
1.0,-0.44510095497555147,R0_STATIC_REPAIRED,0.03941012119254892,0.0,-0.4056908337830025,US_LEVERAGED_ETF,1.7506078132637954,0.007002431253055182,1.241082744884091,-0.44510095497555147,-0.44510095497555147,0.0,N100,0.0,1,PRIMARY_ZERO_MAKER,10,1.0,0.03941012119254892,-0.44510095497555147,1,-0.44510095497555147
1.0,-0.4885787408243635,R0_STATIC_REPAIRED,0.03941012119254892,0.0,-0.44916861963181454,US_LEVERAGED_ETF,1.7604839918756414,0.007041935967502566,1.2822092147510988,-0.4885787408243635,-0.4885787408243635,0.0,N100,0.0,1,PRIMARY_ZERO_MAKER,17,1.0,0.03941012119254892,-0.4885787408243635,1,-0.4885787408243635
1.0,-0.5606641095337036,R0_STATIC_REPAIRED,0.03941012119254892,0.0,-0.5212539883411547,US_LEVERAGED_ETF,1.7602738633177069,0.007041095453270828,1.3567511382384245,-0.5606641095337036,-0.5606641095337036,0.0,N100,0.0,1,PRIMARY_ZERO_MAKER,31,1.0,0.03941012119254892,-0.5606641095337036,1,-0.5606641095337036
1.0,-0.43090842745806446,R0_STATIC_REPAIRED,0.03941012119254892,0.0,-0.3914983062655155,US_LEVERAGED_ETF,1.747003423069661,0.006988013692278644,1.2282230076772123,-0.43090842745806446,-0.43090842745806446,0.0,N100,0.0,1,PRIMARY_ZERO_MAKER,59,1.0,0.03941012119254892,-0.43090842745806446,1,-0.43090842745806446
1.0,-0.4442116432938922,R0_STATIC_REPAIRED,0.03941012119254892,0.0,-0.40480152210134324,US_LEVERAGED_ETF,1.7741727783288201,0.00709669111331528,1.2402690435624253,-0.4442116432938922,-0.4442116432938922,0.0,N100,0.0,1,PRIMARY_ZERO_MAKER,97,1.0,0.03941012119254892,-0.4442116432938922,1,-0.4442116432938922
1.0,-0.5436475200260015,R0_STATIC_REPAIRED,0.18341763136404285,0.0,-0.8456303026027236,US_LEVERAGED_ETF,3.5292324123377874,0.01411692964935115,1.048893259723628,-0.5145239669833832,-0.5145239669833832,0.0,N20,0.0,2,EXECUTION_STRESS,3,1.0,0.18341763136404285,-1.0290479339667664,2,-0.5436475200260015
1.0,-0.5436475200260015,R0_STATIC_REPAIRED,0.18341763136404285,0.0,0.9846040439041612,US_LEVERAGED_ETF,3.442432412337787,0.013769729649351149,0.828390175971915,0.4005932062700592,0.4005932062700592,0.5,N20,2.4737240271082253,2,EXECUTION_STRESS,10,1.0,0.18341763136404285,0.8011864125401184,2,-0.5436475200260015
1.0,-0.5436475200260015,R0_STATIC_REPAIRED,0.18341763136404285,0.0,0.9846040439041612,US_LEVERAGED_ETF,3.442432412337787,0.013769729649351149,0.828390175971915,0.4005932062700592,0.4005932062700592,0.5,N20,2.4737240271082253,2,EXECUTION_STRESS,17,1.0,0.18341763136404285,0.8011864125401184,2,-0.5436475200260015
1.0,-0.5436475200260015,R0_STATIC_REPAIRED,0.18341763136404285,0.0,1.0040746220584902,US_LEVERAGED_ETF,3.442432412337787,0.013769729649351149,0.827052539415469,0.41032849534722365,0.41032849534722365,0.5,N20,2.509538736891869,2,EXECUTION_STRESS,31,1.0,0.18341763136404285,0.8206569906944473,2,-0.5436475200260015
1.0,-0.5436475200260015,R0_STATIC_REPAIRED,0.18341763136404285,0.0,0.9846040439041612,US_LEVERAGED_ETF,3.442432412337787,0.013769729649351149,0.828390175971915,0.4005932062700592,0.4005932062700592,0.5,N20,2.4737240271082253,2,EXECUTION_STRESS,59,1.0,0.18341763136404285,0.8011864125401184,2,-0.5436475200260015
1.0,-0.5436475200260015,R0_STATIC_REPAIRED,0.18341763136404285,0.0,1.6076625448426753,US_LEVERAGED_ETF,3.442432412337787,0.013769729649351149,0.7908503928529239,0.7121224567393163,0.7121224567393163,0.5,N20,3.6197947401848056,2,EXECUTION_STRESS,97,1.0,0.18341763136404285,1.4242449134786326,2,-0.5436475200260015
