engine_mode,inventory_drag,inventory_drag_ratio,inventory_realized_pnl,market_group,max_unpaired_lot_age,max_unpaired_lots,peak_inventory_drag_ratio,peak_negative_unrealized_pnl,pre_exit_inventory_notional,pre_exit_mark_price,pre_exit_position_qty,pre_exit_timestamp,pre_exit_unrealized_pnl,profile,scenario,seed,symbol,window_key
R0_STATIC_REPAIRED,4.975155309612737,2.0901817176742656,-5.331129815431737,US_STOCK,165,2,2.160568107079656,5.142692522293146,237.31633721268045,847.5583471881444,0.28,1780710480000,-4.975155309612737,N20,MAKER_PROMO_OFF,17,MUUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,4.975155309612737,2.0901817176742656,-5.331129815431737,US_STOCK,165,2,2.160568107079656,5.142692522293146,237.31633721268045,847.5583471881444,0.28,1780710480000,-4.975155309612737,N20,MAKER_PROMO_OFF,17,MUUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
R0_STATIC_REPAIRED,4.975155309612737,2.0901817176742656,-5.331129815431737,US_STOCK,165,2,2.160568107079656,5.142692522293146,237.31633721268045,847.5583471881444,0.28,1780710480000,-4.975155309612737,N20,MAKER_PROMO_OFF,31,MUUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,4.975155309612737,2.0901817176742656,-5.331129815431737,US_STOCK,165,2,2.160568107079656,5.142692522293146,237.31633721268045,847.5583471881444,0.28,1780710480000,-4.975155309612737,N20,MAKER_PROMO_OFF,31,MUUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
R0_STATIC_REPAIRED,4.976279318842715,2.0885441088994794,-5.332253824661714,US_STOCK,97,2,2.1588594662469203,5.143816531523123,237.31633721268045,847.5583471881444,0.28,1780710480000,-4.976279318842715,N20,MAKER_PROMO_OFF,59,MUUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,4.976279318842715,2.0885441088994794,-5.332253824661714,US_STOCK,97,2,2.1588594662469203,5.143816531523123,237.31633721268045,847.5583471881444,0.28,1780710480000,-4.976279318842715,N20,MAKER_PROMO_OFF,59,MUUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
R0_STATIC_REPAIRED,4.976279318842715,1.3894281041408887,-5.332253824661714,US_STOCK,97,2,1.4362062081966964,5.143816531523123,237.31633721268045,847.5583471881444,0.28,1780710480000,-4.976279318842715,N20,MAKER_PROMO_OFF,97,MUUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,4.976279318842715,1.3894281041408887,-5.332253824661714,US_STOCK,97,2,1.4362062081966964,5.143816531523123,237.31633721268045,847.5583471881444,0.28,1780710480000,-4.976279318842715,N20,MAKER_PROMO_OFF,97,MUUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
R0_STATIC_REPAIRED,4.862198158422682,4.261056284150372,-5.096402160264261,US_STOCK,129,2,4.490577675817719,5.124100000000001,234.20400184157734,1115.2571516265587,0.21000000000000002,1781841660000,-4.862198158422682,N20,PRIMARY_ZERO_MAKER,3,MUUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,4.862198158422682,4.261056284150372,-5.096402160264261,US_STOCK,129,2,4.490577675817719,5.124100000000001,234.20400184157734,1115.2571516265587,0.21000000000000002,1781841660000,-4.862198158422682,N20,PRIMARY_ZERO_MAKER,3,MUUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
R0_STATIC_REPAIRED,4.862198158422682,4.261056284150372,-5.096402160264261,US_STOCK,129,2,4.490577675817719,5.124100000000001,234.20400184157734,1115.2571516265587,0.21000000000000002,1781841660000,-4.862198158422682,N20,PRIMARY_ZERO_MAKER,10,MUUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
