window_id,symbol,asset_group,group,seed,matched_window_id,matched_calendar_key,calendar_key,month,split,listing_stage,window_type,status,row_count,tradable_rows,tradable_hours,window_realized_volatility,hourly_realized_volatility,atr_pct,high_low_range_pct,directional_efficiency,max_single_direction_move_pct,return_sign_flip_rate,reversal_legs,reversal_legs_per_hour,completed_grid_cycles,completed_grid_cycles_per_hour,gross_cycle_edge,fee_adjusted_cycle_capacity_window,fee_adjusted_cycle_capacity_per_hour,zero_trade_ratio,trades_per_hour,base_volume_per_hour,quote_volume_per_hour,median_trade_size,aggtrade_event_count,aggtrade_event_count_per_hour,funding_abs_sum_window,funding_abs_per_hour,premium_abs_mean,mark_deviation_abs_mean,first_half_hourly_realized_volatility,second_half_hourly_realized_volatility,second_to_first_volatility_ratio,volatility_expansion
CRCLUSDT-O-20260224T210000Z,CRCLUSDT,CRYPTO_SENSITIVE_EQUITY,O,,,,O:2026-02-24T21:00:00Z:2026-02-25T07:00:00Z,2026-02,DESCRIPTIVE_EXPOSED,LISTING_DAYS_15_30,ORDINARY_WEEKDAY_OVERNIGHT,READY,420,420,7.0,0.02006285623728605,0.007583046884785709,0.0010503108622374707,0.041605957584588106,0.048250904704463325,0.03774501862951572,0.5492957746478874,39,5.571428571428571,38,5.428571428571429,0.0011,0.041800000000000004,0.005971428571428572,0.05952380952380952,1386.5714285714287,4996.768571428571,314140.79128571425,144.0868,5157,736.7142857142857,0.00040782,5.8259999999999994e-05,0.001341260380952381,0.0001757523067043452,0.008960586765418192,0.005891781134184198,0.6575217994565368,0.0
CRCLUSDT-O-20260225T210000Z,CRCLUSDT,CRYPTO_SENSITIVE_EQUITY,O,,,,O:2026-02-25T21:00:00Z:2026-02-26T07:00:00Z,2026-02,DESCRIPTIVE_EXPOSED,LISTING_DAYS_15_30,ORDINARY_WEEKDAY_OVERNIGHT,READY,420,420,7.0,0.02589878077682917,0.009788819027895742,0.00197222255049513,0.053078817733990175,0.07621671258034925,0.04753715759734682,0.48614609571788414,67,9.571428571428571,66,9.428571428571429,0.0011,0.0726,0.010371428571428573,0.0,9739.857142857143,35623.93714285714,2970348.3638571426,186.00239999999997,35345,5049.285714285715,0.0,0.0,0.00040448809523809524,0.0002492201488772366,0.00910253321892802,0.01043004529808473,1.1458398499877211,0.0
CRCLUSDT-O-20260226T210000Z,CRCLUSDT,CRYPTO_SENSITIVE_EQUITY,O,,,,O:2026-02-26T21:00:00Z:2026-02-27T07:00:00Z,2026-02,DESCRIPTIVE_EXPOSED,LISTING_DAYS_15_30,ORDINARY_WEEKDAY_OVERNIGHT,READY,420,420,7.0,0.01508458029866979,0.005701435443152099,0.000977311225292746,0.035154890358510285,0.0687432867883993,0.021807214940262266,0.49453551912568305,30,4.285714285714286,29,4.142857142857143,0.0011,0.031900000000000005,0.004557142857142858,0.0,4711.714285714285,12311.1,1065711.5103142858,158.11120000000003,13165,1880.7142857142858,0.00013276,1.8965714285714285e-05,0.0006492882380952381,0.0001370008845524879,0.0053331343483077505,0.006047347372837284,1.1339199386109895,0.0
CRCLUSDT-nyse_20260227T210000Z,CRCLUSDT,CRYPTO_SENSITIVE_EQUITY,W,,,,W:2026-02-27T21:00:00Z:2026-03-02T07:00:00Z,2026-02,DESCRIPTIVE_EXPOSED,LISTING_DAYS_15_30,REGULAR_WEEKEND,READY,3300,3300,55.0,0.05670371281757181,0.007645927076552418,0.001109351739805976,0.05149700598802392,0.018779918988584735,0.046683339287840915,0.5405222109189556,296,5.381818181818182,295,5.363636363636363,0.0011,0.3245,0.0059,0.009393939393939394,3354.981818181818,9089.008545454544,751477.8120927273,98.8166,97562,1773.8545454545454,0.02093953,0.0003807187272727273,0.004147864112121212,0.0015494854852351869,0.007129084999756874,0.008129978400103925,1.140395773143564,0.0
CRCLUSDT-O-20260302T210000Z,CRCLUSDT,CRYPTO_SENSITIVE_EQUITY,O,,,,O:2026-03-02T21:00:00Z:2026-03-03T07:00:00Z,2026-03,RESEARCH_DEVELOPMENT,LISTING_DAYS_15_30,ORDINARY_WEEKDAY_OVERNIGHT,READY,420,420,7.0,0.017045029296876252,0.006442415515620672,0.001226271776689738,0.03652155713687745,0.11022044088176321,0.03439623627809729,0.4847715736040609,50,7.142857142857143,49,7.0,0.0011,0.0539,0.0077,0.0,4883.857142857143,10200.641428571429,961721.2141142858,37.848000000000006,17075,2439.285714285714,0.00062124,8.874857142857142e-05,0.0010010471904761905,0.00014582475201171973,0.006554862140663214,0.006327971054668312,0.9653858340380068,0.0
CRCLUSDT-O-20260303T210000Z,CRCLUSDT,CRYPTO_SENSITIVE_EQUITY,O,,,,O:2026-03-03T21:00:00Z:2026-03-04T07:00:00Z,2026-03,RESEARCH_DEVELOPMENT,LISTING_DAYS_15_30,ORDINARY_WEEKDAY_OVERNIGHT,READY,420,420,7.0,0.022584614990097875,0.008536182102848637,0.0013813983903500826,0.02996558007693859,0.01060927553804172,0.022233451237999018,0.4759493670886076,52,7.428571428571429,51,7.285714285714286,0.0011,0.056100000000000004,0.008014285714285715,0.0,4799.714285714285,13309.652857142859,1308037.3874857144,105.19200000000001,16805,2400.714285714286,4.899e-05,6.998571428571428e-06,0.0009956857380952382,0.00017549771689224768,0.008587578431845372,0.00848447443645692,0.9879938219829106,0.0
CRCLUSDT-O-20260304T210000Z,CRCLUSDT,CRYPTO_SENSITIVE_EQUITY,O,,,,O:2026-03-04T21:00:00Z:2026-03-05T07:00:00Z,2026-03,RESEARCH_DEVELOPMENT,LISTING_DAYS_15_30,ORDINARY_WEEKDAY_OVERNIGHT,READY,420,420,7.0,0.015348528113648625,0.005801198339942511,0.0009440330958586649,0.01659513590844058,0.0038809831824063857,0.013259563102165417,0.5013054830287206,37,5.285714285714286,36,5.142857142857143,0.0011,0.0396,0.005657142857142858,0.002380952380952381,3224.285714285714,9686.628571428571,1010187.9847285714,72.036,11783,1683.2857142857142,0.0,0.0,0.0009403787619047619,0.0005122681073179613,0.006097417631654854,0.005489016540682675,0.9002198754086231,0.0
CRCLUSDT-O-20260305T210000Z,CRCLUSDT,CRYPTO_SENSITIVE_EQUITY,O,,,,O:2026-03-05T21:00:00Z:2026-03-06T07:00:00Z,2026-03,RESEARCH_DEVELOPMENT,LISTING_DAYS_15_30,ORDINARY_WEEKDAY_OVERNIGHT,READY,420,420,7.0,0.015650971276275495,0.005915511110520021,0.0009128182511851436,0.025911161731207326,0.05000000000000042,0.020491414476804824,0.4854111405835544,29,4.142857142857143,28,4.0,0.0011,0.0308,0.0044,0.007142857142857143,2934.1428571428573,7680.415714285714,816569.9620571429,60.1008,11496,1642.2857142857142,0.0,0.0,0.00032255745238095237,0.00012173659901339214,0.006755522655585217,0.004934516901100498,0.7304419143677686,0.0
CRCLUSDT-nyse_20260306T210000Z,CRCLUSDT,CRYPTO_SENSITIVE_EQUITY,W,,,,W:2026-03-06T21:00:00Z:2026-03-09T06:00:00Z,2026-03,RESEARCH_DEVELOPMENT,LISTING_DAYS_15_30,REGULAR_WEEKEND,READY,3240,3240,54.0,0.05077541849148381,0.006909659265578494,0.000809522875839977,0.05680695514720411,0.0010828370330265087,0.05111947691698035,0.5520833333333334,210,3.888888888888889,209,3.8703703703703702,0.0011,0.22990000000000002,0.004257407407407408,0.023765432098765433,3163.6666666666665,5920.195740740741,589222.1392148148,33.1452,99151,1836.1296296296296,0.017999380000000002,0.0003333218518518519,0.003384086212962963,0.0009958712523228468,0.002969083857701725,0.009309743464710751,3.1355609712947388,1.0
CRCLUSDT-O-20260309T200000Z,CRCLUSDT,CRYPTO_SENSITIVE_EQUITY,O,,,,O:2026-03-09T20:00:00Z:2026-03-10T06:00:00Z,2026-03,RESEARCH_DEVELOPMENT,LISTING_DAYS_15_30,ORDINARY_WEEKDAY_OVERNIGHT,READY,420,420,7.0,0.022299125110622594,0.008428277071003295,0.0014278099340710529,0.03983172216254926,0.06644790812141109,0.03460919334644969,0.5176767676767676,57,8.142857142857142,56,8.0,0.0011,0.0616,0.0088,0.0,7001.428571428572,11812.17,1347403.2981571427,29.069300000000002,28042,4006.0,0.00166098,0.00023728285714285716,0.0019660289285714284,0.00015808964665626446,0.009658764174317661,0.006984266847430544,0.7231014984299422,0.0
CRCLUSDT-O-20260310T200000Z,CRCLUSDT,CRYPTO_SENSITIVE_EQUITY,O,,,,O:2026-03-10T20:00:00Z:2026-03-11T06:00:00Z,2026-03,RESEARCH_DEVELOPMENT,LISTING_DAYS_15_30,ORDINARY_WEEKDAY_OVERNIGHT,READY,420,420,7.0,0.0165318536189982,0.006248453340970341,0.0008987350021335805,0.020884625180405753,0.006047669868374262,0.02038216560509559,0.516209476309227,30,4.285714285714286,29,4.142857142857143,0.0011,0.031900000000000005,0.004557142857142858,0.0,3186.714285714286,5754.5142857142855,683266.3746428571,99.76679999999999,11776,1682.2857142857142,0.0,0.0,0.001169792261904762,0.0001039173155317745,0.007603577476804915,0.0045024379909990786,0.5921473154885297,0.0
CRCLUSDT-O-20260311T200000Z,CRCLUSDT,CRYPTO_SENSITIVE_EQUITY,O,,,,O:2026-03-11T20:00:00Z:2026-03-12T06:00:00Z,2026-03,RESEARCH_DEVELOPMENT,LISTING_DAYS_15_30,ORDINARY_WEEKDAY_OVERNIGHT,READY,420,420,7.0,0.01949373071156377,0.007367937655379989,0.0011141098781894546,0.022796625381439655,0.03979294726625662,0.010386819484240657,0.5050505050505051,47,6.714285714285714,46,6.571428571428571,0.0011,0.050600000000000006,0.007228571428571429,0.0,5131.857142857143,10809.057142857142,1206863.4819857143,93.3003,18131,2590.1428571428573,0.00051943,7.420428571428571e-05,0.001796180857142857,0.00013064009281529845,0.007841619231688962,0.006861633800512714,0.8750276693854243,0.0
CRCLUSDT-O-20260312T200000Z,CRCLUSDT,CRYPTO_SENSITIVE_EQUITY,O,,,,O:2026-03-12T20:00:00Z:2026-03-13T06:00:00Z,2026-03,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,ORDINARY_WEEKDAY_OVERNIGHT,READY,420,420,7.0,0.01685704120062199,0.006371362693887922,0.000992585382001245,0.0209428671573782,0.01073729420186155,0.011542497376705206,0.4629156010230179,37,5.285714285714286,36,5.142857142857143,0.0011,0.0396,0.005657142857142858,0.0,3730.285714285714,6640.524285714286,760467.9998,67.48419999999999,13677,1953.857142857143,0.0,0.0,0.0005558172380952381,0.000145156608445702,0.007558120060525446,0.004905440480203213,0.6490291819818198,0.0
CRCLUSDT-nyse_20260313T200000Z,CRCLUSDT,CRYPTO_SENSITIVE_EQUITY,W,,,,W:2026-03-13T20:00:00Z:2026-03-16T06:00:00Z,2026-03,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,REGULAR_WEEKEND,READY,3300,3300,55.0,0.03371851440425048,0.004546603554762104,0.0004899462673133685,0.044999564801114125,0.041105662059741456,0.0425606139891855,0.5824520172346259,123,2.2363636363636363,122,2.2181818181818183,0.0011,0.1342,0.0024400000000000003,0.056666666666666664,1610.8545454545454,3727.0299999999997,433663.63539454545,61.124900000000004,50101,910.9272727272727,0.01402461,0.0002549929090909091,0.00259393016969697,0.0006218761077842281,0.0021581267296690537,0.006056871864835738,2.8065413312241176,1.0
CRCLUSDT-O-20260316T200000Z,CRCLUSDT,CRYPTO_SENSITIVE_EQUITY,O,,,,O:2026-03-16T20:00:00Z:2026-03-17T06:00:00Z,2026-03,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,ORDINARY_WEEKDAY_OVERNIGHT,READY,420,420,7.0,0.020167590770196888,0.007622632817323221,0.0011772235162527728,0.02478295185477495,0.013422818791946109,0.023837714105296472,0.5,52,7.428571428571429,51,7.285714285714286,0.0011,0.056100000000000004,0.008014285714285715,0.0,5422.857142857143,13007.488571428572,1670465.2849714286,159.1989,17763,2537.5714285714284,0.0002186,3.1228571428571426e-05,0.00033107783333333337,0.00014843849869504525,0.008350000725303739,0.006818104576998871,0.8165393993724301,0.0
CRCLUSDT-O-20260317T200000Z,CRCLUSDT,CRYPTO_SENSITIVE_EQUITY,O,,,,O:2026-03-17T20:00:00Z:2026-03-18T06:00:00Z,2026-03,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,ORDINARY_WEEKDAY_OVERNIGHT,READY,420,420,7.0,0.015522870333174578,0.005867093505068897,0.0009741822427374507,0.026100771674988563,0.04179663131628219,0.01427927250864276,0.5413533834586466,33,4.714285714285714,32,4.571428571428571,0.0011,0.0352,0.005028571428571428,0.0,5595.571428571428,16980.23,2268550.7240571426,190.0224,15683,2240.4285714285716,0.0,0.0,0.0003521538333333333,0.00012412326338357874,0.00653539785417924,0.005112156813130115,0.7822257997439293,0.0
CRCLUSDT-O-20260318T200000Z,CRCLUSDT,CRYPTO_SENSITIVE_EQUITY,O,,,,O:2026-03-18T20:00:00Z:2026-03-19T06:00:00Z,2026-03,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,ORDINARY_WEEKDAY_OVERNIGHT,READY,420,420,7.0,0.016811032104146775,0.006353972889985036,0.0010843543794739321,0.03321201091901726,0.03315076390890788,0.02613187481008832,0.49622166246851385,50,7.142857142857143,49,7.0,0.0011,0.0539,0.0077,0.0,5088.0,16313.44,2180050.431657143,193.032,15339,2191.285714285714,0.0,0.0,0.000365164119047619,0.00014722793745144144,0.006754768893021033,0.005926131974163668,0.8773256447435966,0.0
CRCLUSDT-O-20260319T200000Z,CRCLUSDT,CRYPTO_SENSITIVE_EQUITY,O,,,,O:2026-03-19T20:00:00Z:2026-03-20T06:00:00Z,2026-03,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,ORDINARY_WEEKDAY_OVERNIGHT,READY,420,420,7.0,0.0184238336356003,0.006963554570889341,0.0011624845249555385,0.026243849097867793,0.02455546147332787,0.015443413150300208,0.5012531328320802,46,6.571428571428571,45,6.428571428571429,0.0011,0.0495,0.007071428571428572,0.0,5549.428571428572,16007.28,2056952.4780000001,157.03640000000001,18158,2594.0,4.863e-05,6.947142857142857e-06,0.0004695929761904762,0.0001646227960261212,0.007304762457505864,0.006604742989921756,0.9041694412848679,0.0
CRCLUSDT-nyse_20260320T200000Z,CRCLUSDT,CRYPTO_SENSITIVE_EQUITY,W,,,,W:2026-03-20T20:00:00Z:2026-03-23T06:00:00Z,2026-03,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,REGULAR_WEEKEND,READY,3300,3300,55.0,0.03477673464406592,0.004689293942789982,0.000552437312237673,0.05801696124276775,0.031045751633986995,0.044902816342721114,0.5165806927044952,149,2.709090909090909,148,2.690909090909091,0.0011,0.1628,0.0029600000000000004,0.034545454545454546,2624.4363636363637,5837.894363636364,727500.7820036364,93.0324,78092,1419.8545454545454,0.01221856,0.00022215563636363635,0.0024392151575757573,0.0005930474542642073,0.002458446233710886,0.006159139345698098,2.5052975579625443,1.0
