comparison,scope,seed,metric,w_median,control_median,delta_w_minus_control,ratio_w_to_control,evaluation_status
W_VS_R,ALL_CORE,SEED_MEDIAN,completed_grid_cycles_per_hour,1.2818181818181817,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,SEED_MEDIAN,fee_adjusted_cycle_capacity_per_hour,0.0014100000000000002,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,SEED_MEDIAN,zero_trade_ratio,0.09196969696969698,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,SEED_MEDIAN,trades_per_hour,1142.3818181818183,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,SEED_MEDIAN,base_volume_per_hour,1443.4237272727273,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,SEED_MEDIAN,quote_volume_per_hour,203789.15608909092,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,SEED_MEDIAN,median_trade_size,59.9264,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,SEED_MEDIAN,aggtrade_event_count_per_hour,622.6759259259259,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,TRADITIONAL_EQUITY,3,window_realized_volatility,0.017756147473909648,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,TRADITIONAL_EQUITY,3,hourly_realized_volatility,0.002394238436957385,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,TRADITIONAL_EQUITY,3,directional_efficiency,0.016938957375003342,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,TRADITIONAL_EQUITY,3,completed_grid_cycles_per_hour,0.9454545454545455,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,TRADITIONAL_EQUITY,3,fee_adjusted_cycle_capacity_per_hour,0.0010400000000000001,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,TRADITIONAL_EQUITY,3,zero_trade_ratio,0.12651515151515152,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,TRADITIONAL_EQUITY,3,trades_per_hour,772.9,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,TRADITIONAL_EQUITY,3,base_volume_per_hour,730.7897272727273,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,TRADITIONAL_EQUITY,3,quote_volume_per_hour,139380.77760909093,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,TRADITIONAL_EQUITY,3,median_trade_size,54.301249999999996,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,TRADITIONAL_EQUITY,3,aggtrade_event_count_per_hour,428.77272727272725,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,TRADITIONAL_EQUITY,10,window_realized_volatility,0.017756147473909648,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,TRADITIONAL_EQUITY,10,hourly_realized_volatility,0.002394238436957385,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,TRADITIONAL_EQUITY,10,directional_efficiency,0.016938957375003342,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
