record_type,status,reason,candidate_id,candidate_sha,symbol,market_calendar,window_key,window_start,window_end,force_close_at,first_seen_at,completed_at,data_sha,rules_sha,config_sha,code_sha,scenario,seed,gate_status,regime_status,grid_count,step_pct,range_pct,paired_grid_pnl,inventory_realized_pnl,funding_pnl,fees,slippage_cost,net_pnl,max_drawdown,max_drawdown_pct,inventory_drag,inventory_drag_ratio,pre_exit_inventory_notional,max_inventory_utilization,mean_inventory_utilization,max_unpaired_lots,max_unpaired_lot_age,stop_loss_count,window_force_close_count,complete_window,data_complete,funding_complete,rules_frozen,force_close_covered,expected_symbols,observed_symbols,portfolio_complete,oos_eligible,sequence_valid,exposure_cutoff
OOS_RESULT,NO_TRADE,,31111-NEUTRAL,c65c75506f4070608ddbfb9a9b3731dc8dab2fee0261c33bda36278a495a1774,SKHYNIXUSDT,XKRX,XKRX:2026-08-14T06:30:00+00:00:2026-08-17T22:00:00+00:00,2026-08-14T06:30:00+00:00,2026-08-17T22:00:00+00:00,2026-08-17T22:00:00+00:00,2026-08-14T06:30:00+00:00,2026-08-22T17:36:40.198739+00:00,4afdae308cfafe0bc7f981f0115a1d6f21c5079934c8dc83e7c284565b58fffa,ac0ff63eecc9a9b285c68c5fdc48722f5e9ebd8614e6b7ddbb4ce51d59a04d58,d7d8d2223b78a0e70404470163b7ec44b55460752e389680d5faaac4496222cc,b8aa6708613e4ec8f24ea2a11c5c5753a7390ee7833fab1193ebf3dc90b6c015,MAKER_PROMO_OFF,10,NOT_EVALUATED,BLOCKED,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,SKHYNIXUSDT,SKHYNIXUSDT,True,True,True,
OOS_RESULT,NO_TRADE,,31111-NEUTRAL,c65c75506f4070608ddbfb9a9b3731dc8dab2fee0261c33bda36278a495a1774,SKHYNIXUSDT,XKRX,XKRX:2026-08-14T06:30:00+00:00:2026-08-17T22:00:00+00:00,2026-08-14T06:30:00+00:00,2026-08-17T22:00:00+00:00,2026-08-17T22:00:00+00:00,2026-08-14T06:30:00+00:00,2026-08-22T17:36:40.198741+00:00,4afdae308cfafe0bc7f981f0115a1d6f21c5079934c8dc83e7c284565b58fffa,ac0ff63eecc9a9b285c68c5fdc48722f5e9ebd8614e6b7ddbb4ce51d59a04d58,d7d8d2223b78a0e70404470163b7ec44b55460752e389680d5faaac4496222cc,b8aa6708613e4ec8f24ea2a11c5c5753a7390ee7833fab1193ebf3dc90b6c015,MAKER_PROMO_OFF,17,NOT_EVALUATED,BLOCKED,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,SKHYNIXUSDT,SKHYNIXUSDT,True,True,True,
OOS_RESULT,NO_TRADE,,31111-NEUTRAL,c65c75506f4070608ddbfb9a9b3731dc8dab2fee0261c33bda36278a495a1774,SKHYNIXUSDT,XKRX,XKRX:2026-08-14T06:30:00+00:00:2026-08-17T22:00:00+00:00,2026-08-14T06:30:00+00:00,2026-08-17T22:00:00+00:00,2026-08-17T22:00:00+00:00,2026-08-14T06:30:00+00:00,2026-08-22T17:36:40.198745+00:00,4afdae308cfafe0bc7f981f0115a1d6f21c5079934c8dc83e7c284565b58fffa,ac0ff63eecc9a9b285c68c5fdc48722f5e9ebd8614e6b7ddbb4ce51d59a04d58,d7d8d2223b78a0e70404470163b7ec44b55460752e389680d5faaac4496222cc,b8aa6708613e4ec8f24ea2a11c5c5753a7390ee7833fab1193ebf3dc90b6c015,MAKER_PROMO_OFF,31,NOT_EVALUATED,BLOCKED,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,SKHYNIXUSDT,SKHYNIXUSDT,True,True,True,
OOS_RESULT,NO_TRADE,,31111-NEUTRAL,c65c75506f4070608ddbfb9a9b3731dc8dab2fee0261c33bda36278a495a1774,SKHYNIXUSDT,XKRX,XKRX:2026-08-14T06:30:00+00:00:2026-08-17T22:00:00+00:00,2026-08-14T06:30:00+00:00,2026-08-17T22:00:00+00:00,2026-08-17T22:00:00+00:00,2026-08-14T06:30:00+00:00,2026-08-22T17:36:40.198747+00:00,4afdae308cfafe0bc7f981f0115a1d6f21c5079934c8dc83e7c284565b58fffa,ac0ff63eecc9a9b285c68c5fdc48722f5e9ebd8614e6b7ddbb4ce51d59a04d58,d7d8d2223b78a0e70404470163b7ec44b55460752e389680d5faaac4496222cc,b8aa6708613e4ec8f24ea2a11c5c5753a7390ee7833fab1193ebf3dc90b6c015,MAKER_PROMO_OFF,59,NOT_EVALUATED,BLOCKED,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,SKHYNIXUSDT,SKHYNIXUSDT,True,True,True,
OOS_RESULT,NO_TRADE,,31111-NEUTRAL,c65c75506f4070608ddbfb9a9b3731dc8dab2fee0261c33bda36278a495a1774,SKHYNIXUSDT,XKRX,XKRX:2026-08-14T06:30:00+00:00:2026-08-17T22:00:00+00:00,2026-08-14T06:30:00+00:00,2026-08-17T22:00:00+00:00,2026-08-17T22:00:00+00:00,2026-08-14T06:30:00+00:00,2026-08-22T17:36:40.198750+00:00,4afdae308cfafe0bc7f981f0115a1d6f21c5079934c8dc83e7c284565b58fffa,ac0ff63eecc9a9b285c68c5fdc48722f5e9ebd8614e6b7ddbb4ce51d59a04d58,d7d8d2223b78a0e70404470163b7ec44b55460752e389680d5faaac4496222cc,b8aa6708613e4ec8f24ea2a11c5c5753a7390ee7833fab1193ebf3dc90b6c015,MAKER_PROMO_OFF,97,NOT_EVALUATED,BLOCKED,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,SKHYNIXUSDT,SKHYNIXUSDT,True,True,True,
OOS_RESULT,COMPLETE,,31111-NEUTRAL,c65c75506f4070608ddbfb9a9b3731dc8dab2fee0261c33bda36278a495a1774,SNDKUSDT,NYSE,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-22T17:36:41.332814+00:00,758d6702bc4d6c303dd26386dcf8f281e1195bec92c145725b7ecdc5e5f13d87,ac0ff63eecc9a9b285c68c5fdc48722f5e9ebd8614e6b7ddbb4ce51d59a04d58,d7d8d2223b78a0e70404470163b7ec44b55460752e389680d5faaac4496222cc,b8aa6708613e4ec8f24ea2a11c5c5753a7390ee7833fab1193ebf3dc90b6c015,PRIMARY_ZERO_MAKER,3,ALLOWED,ALLOWED,6,0.007979581927883395,0.05275208088683208,1.8058963160405006,-5.856104584142743,-0.069902783055,0.07775752889897711,0.15535969809985437,-4.19786858005622,5.7232255661482,0.0114464511322964,5.700744886042905,3.1567398612020066,155.35969809985437,0.4381286,0.15655804587929917,3,1456,1,0,True,True,True,True,True,MUUSDT;SNDKUSDT;SOXLUSDT,MUUSDT;SNDKUSDT;SOXLUSDT,True,True,True,
OOS_RESULT,COMPLETE,,31111-NEUTRAL,c65c75506f4070608ddbfb9a9b3731dc8dab2fee0261c33bda36278a495a1774,SNDKUSDT,NYSE,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-22T17:36:41.377276+00:00,758d6702bc4d6c303dd26386dcf8f281e1195bec92c145725b7ecdc5e5f13d87,ac0ff63eecc9a9b285c68c5fdc48722f5e9ebd8614e6b7ddbb4ce51d59a04d58,d7d8d2223b78a0e70404470163b7ec44b55460752e389680d5faaac4496222cc,b8aa6708613e4ec8f24ea2a11c5c5753a7390ee7833fab1193ebf3dc90b6c015,PRIMARY_ZERO_MAKER,10,ALLOWED,ALLOWED,6,0.007979581927883395,0.05275208088683208,2.334573744991333,-5.855894344847732,-0.069902783055,0.07775752889897711,0.15535969809985437,-3.668980911810376,5.723015326853188,0.011446030653706377,5.700534646747895,2.441788210365168,155.35969809985437,0.4381572,0.17349556560674886,3,1454,1,0,True,True,True,True,True,MUUSDT;SNDKUSDT;SOXLUSDT,MUUSDT;SNDKUSDT;SOXLUSDT,True,True,True,
OOS_RESULT,COMPLETE,,31111-NEUTRAL,c65c75506f4070608ddbfb9a9b3731dc8dab2fee0261c33bda36278a495a1774,SNDKUSDT,NYSE,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-22T17:36:41.414156+00:00,758d6702bc4d6c303dd26386dcf8f281e1195bec92c145725b7ecdc5e5f13d87,ac0ff63eecc9a9b285c68c5fdc48722f5e9ebd8614e6b7ddbb4ce51d59a04d58,d7d8d2223b78a0e70404470163b7ec44b55460752e389680d5faaac4496222cc,b8aa6708613e4ec8f24ea2a11c5c5753a7390ee7833fab1193ebf3dc90b6c015,PRIMARY_ZERO_MAKER,17,ALLOWED,ALLOWED,6,0.007979581927883395,0.05275208088683208,1.8058963160405006,-5.856104584142743,-0.069902783055,0.07775752889897711,0.15535969809985437,-4.19786858005622,5.7232255661482,0.0114464511322964,5.700744886042905,3.1567398612020066,155.35969809985437,0.4381572,0.15668819091499028,3,1457,1,0,True,True,True,True,True,MUUSDT;SNDKUSDT;SOXLUSDT,MUUSDT;SNDKUSDT;SOXLUSDT,True,True,True,
OOS_RESULT,COMPLETE,,31111-NEUTRAL,c65c75506f4070608ddbfb9a9b3731dc8dab2fee0261c33bda36278a495a1774,SNDKUSDT,NYSE,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-22T17:36:41.454167+00:00,758d6702bc4d6c303dd26386dcf8f281e1195bec92c145725b7ecdc5e5f13d87,ac0ff63eecc9a9b285c68c5fdc48722f5e9ebd8614e6b7ddbb4ce51d59a04d58,d7d8d2223b78a0e70404470163b7ec44b55460752e389680d5faaac4496222cc,b8aa6708613e4ec8f24ea2a11c5c5753a7390ee7833fab1193ebf3dc90b6c015,PRIMARY_ZERO_MAKER,31,ALLOWED,ALLOWED,6,0.007979581927883395,0.05275208088683208,2.334573744991333,-5.855894344847732,-0.069902783055,0.07775752889897711,0.15535969809985437,-3.668980911810376,5.723015326853188,0.011446030653706377,5.700534646747895,2.441788210365168,155.35969809985437,0.4381572,0.17944002388059702,3,1460,1,0,True,True,True,True,True,MUUSDT;SNDKUSDT;SOXLUSDT,MUUSDT;SNDKUSDT;SOXLUSDT,True,True,True,
OOS_RESULT,COMPLETE,,31111-NEUTRAL,c65c75506f4070608ddbfb9a9b3731dc8dab2fee0261c33bda36278a495a1774,SNDKUSDT,NYSE,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-22T17:36:41.501544+00:00,758d6702bc4d6c303dd26386dcf8f281e1195bec92c145725b7ecdc5e5f13d87,ac0ff63eecc9a9b285c68c5fdc48722f5e9ebd8614e6b7ddbb4ce51d59a04d58,d7d8d2223b78a0e70404470163b7ec44b55460752e389680d5faaac4496222cc,b8aa6708613e4ec8f24ea2a11c5c5753a7390ee7833fab1193ebf3dc90b6c015,PRIMARY_ZERO_MAKER,59,ALLOWED,ALLOWED,6,0.007979581927883395,0.05275208088683208,2.334573744991333,-5.855894344847732,-0.069902783055,0.07775752889897711,0.15535969809985437,-3.668980911810376,5.723015326853188,0.011446030653706377,5.700534646747895,2.441788210365168,155.35969809985437,0.4381572,0.1796868068137573,3,1460,1,0,True,True,True,True,True,MUUSDT;SNDKUSDT;SOXLUSDT,MUUSDT;SNDKUSDT;SOXLUSDT,True,True,True,
OOS_RESULT,COMPLETE,,31111-NEUTRAL,c65c75506f4070608ddbfb9a9b3731dc8dab2fee0261c33bda36278a495a1774,SNDKUSDT,NYSE,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-22T17:36:41.541151+00:00,758d6702bc4d6c303dd26386dcf8f281e1195bec92c145725b7ecdc5e5f13d87,ac0ff63eecc9a9b285c68c5fdc48722f5e9ebd8614e6b7ddbb4ce51d59a04d58,d7d8d2223b78a0e70404470163b7ec44b55460752e389680d5faaac4496222cc,b8aa6708613e4ec8f24ea2a11c5c5753a7390ee7833fab1193ebf3dc90b6c015,PRIMARY_ZERO_MAKER,97,ALLOWED,ALLOWED,6,0.007979581927883395,0.05275208088683208,1.2018614132371774,-5.855894344847732,-0.069902783055,0.07775752889897711,0.15535969809985437,-4.801693243564532,6.3168050875581745,0.012633610175116348,5.700534646747895,4.74308816637492,155.35969809985437,0.30333960000000004,0.11234322731992213,2,1460,1,0,True,True,True,True,True,MUUSDT;SNDKUSDT;SOXLUSDT,MUUSDT;SNDKUSDT;SOXLUSDT,True,True,True,
OOS_RESULT,COMPLETE,,31111-NEUTRAL,c65c75506f4070608ddbfb9a9b3731dc8dab2fee0261c33bda36278a495a1774,SNDKUSDT,NYSE,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-22T17:36:41.583046+00:00,758d6702bc4d6c303dd26386dcf8f281e1195bec92c145725b7ecdc5e5f13d87,ac0ff63eecc9a9b285c68c5fdc48722f5e9ebd8614e6b7ddbb4ce51d59a04d58,d7d8d2223b78a0e70404470163b7ec44b55460752e389680d5faaac4496222cc,b8aa6708613e4ec8f24ea2a11c5c5753a7390ee7833fab1193ebf3dc90b6c015,EXECUTION_STRESS,3,ALLOWED,ALLOWED,6,0.007979581927883395,0.05275208088683208,1.2121065553355153,-6.08914413129254,-0.069902783055,0.116811073008828,0.3883992452496359,-5.063751432020852,6.589108418112833,0.013178216836225666,5.700744886042905,4.703171401020036,155.35969809985437,0.30333960000000004,0.15637081395197924,2,1455,1,0,True,True,True,True,True,MUUSDT;SNDKUSDT;SOXLUSDT,MUUSDT;SNDKUSDT;SOXLUSDT,True,True,True,
OOS_RESULT,COMPLETE,,31111-NEUTRAL,c65c75506f4070608ddbfb9a9b3731dc8dab2fee0261c33bda36278a495a1774,SNDKUSDT,NYSE,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-22T17:36:41.626510+00:00,758d6702bc4d6c303dd26386dcf8f281e1195bec92c145725b7ecdc5e5f13d87,ac0ff63eecc9a9b285c68c5fdc48722f5e9ebd8614e6b7ddbb4ce51d59a04d58,d7d8d2223b78a0e70404470163b7ec44b55460752e389680d5faaac4496222cc,b8aa6708613e4ec8f24ea2a11c5c5753a7390ee7833fab1193ebf3dc90b6c015,EXECUTION_STRESS,10,ALLOWED,ALLOWED,6,0.007979581927883395,0.05275208088683208,1.1327123317541554,-6.089297345104001,-0.069902783055,0.116811073008828,0.3883992452496359,-5.143298869413673,5.995318657407847,0.011990637314815695,5.700898099854367,5.032961979875128,155.35969809985437,0.4381572,0.2326570160285529,3,3069,1,0,True,True,True,True,True,MUUSDT;SNDKUSDT;SOXLUSDT,MUUSDT;SNDKUSDT;SOXLUSDT,True,True,True,
OOS_RESULT,COMPLETE,,31111-NEUTRAL,c65c75506f4070608ddbfb9a9b3731dc8dab2fee0261c33bda36278a495a1774,SNDKUSDT,NYSE,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-22T17:36:41.665809+00:00,758d6702bc4d6c303dd26386dcf8f281e1195bec92c145725b7ecdc5e5f13d87,ac0ff63eecc9a9b285c68c5fdc48722f5e9ebd8614e6b7ddbb4ce51d59a04d58,d7d8d2223b78a0e70404470163b7ec44b55460752e389680d5faaac4496222cc,b8aa6708613e4ec8f24ea2a11c5c5753a7390ee7833fab1193ebf3dc90b6c015,EXECUTION_STRESS,17,ALLOWED,ALLOWED,6,0.007979581927883395,0.05275208088683208,1.8058963160405006,-6.08914413129254,-0.069902783055,0.116811073008828,0.3883992452496359,-4.469961671315867,5.995318657407848,0.011990637314815696,5.700744886042905,3.1567398612020066,155.35969809985437,0.4381286,0.15664444737183647,3,1457,1,0,True,True,True,True,True,MUUSDT;SNDKUSDT;SOXLUSDT,MUUSDT;SNDKUSDT;SOXLUSDT,True,True,True,
OOS_RESULT,COMPLETE,,31111-NEUTRAL,c65c75506f4070608ddbfb9a9b3731dc8dab2fee0261c33bda36278a495a1774,SNDKUSDT,NYSE,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-22T17:36:41.706380+00:00,758d6702bc4d6c303dd26386dcf8f281e1195bec92c145725b7ecdc5e5f13d87,ac0ff63eecc9a9b285c68c5fdc48722f5e9ebd8614e6b7ddbb4ce51d59a04d58,d7d8d2223b78a0e70404470163b7ec44b55460752e389680d5faaac4496222cc,b8aa6708613e4ec8f24ea2a11c5c5753a7390ee7833fab1193ebf3dc90b6c015,EXECUTION_STRESS,31,ALLOWED,ALLOWED,6,0.007979581927883395,0.05275208088683208,1.6613897607049877,-6.089087105808989,-0.069902783055,0.116811073008828,0.3883992452496359,-4.6144112011678295,5.995108418112836,0.011990216836225672,5.700687860559356,3.43127663080116,155.35969809985437,0.4381286,0.25591349461388707,3,3081,1,0,True,True,True,True,True,MUUSDT;SNDKUSDT;SOXLUSDT,MUUSDT;SNDKUSDT;SOXLUSDT,True,True,True,
