classification,confirmation_state,profile_id,scenario,seed,signal_time,symbol,window_key
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-20m,MAKER_PROMO_OFF,3,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-30m,MAKER_PROMO_OFF,3,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-20m,MAKER_PROMO_OFF,3,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-30m,MAKER_PROMO_OFF,3,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-20m,MAKER_PROMO_OFF,10,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-30m,MAKER_PROMO_OFF,10,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-20m,MAKER_PROMO_OFF,10,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-30m,MAKER_PROMO_OFF,10,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-20m,MAKER_PROMO_OFF,17,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-30m,MAKER_PROMO_OFF,17,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-20m,MAKER_PROMO_OFF,17,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-30m,MAKER_PROMO_OFF,17,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-20m,MAKER_PROMO_OFF,31,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-30m,MAKER_PROMO_OFF,31,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-20m,MAKER_PROMO_OFF,31,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-30m,MAKER_PROMO_OFF,31,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-20m,MAKER_PROMO_OFF,59,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-30m,MAKER_PROMO_OFF,59,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-20m,MAKER_PROMO_OFF,59,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-30m,MAKER_PROMO_OFF,59,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-20m,MAKER_PROMO_OFF,97,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-30m,MAKER_PROMO_OFF,97,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-20m,MAKER_PROMO_OFF,97,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-30m,MAKER_PROMO_OFF,97,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C1-R3-10m,PRIMARY_ZERO_MAKER,3,2026-08-17T03:16:59.999000+00:00,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C1-R3-30m,PRIMARY_ZERO_MAKER,3,2026-08-17T03:16:59.999000+00:00,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
